date,county,county_iso,city,place_type,cases,deaths,estimated_population_2019,area_km2,confirmed_per_100k_inhabitants,critical
2020-03-10,Sörmland,SE-D,,county,1,0,294695,6102.3,0.33933388757868305,
2020-03-11,Sörmland,SE-D,,county,1,0,294695,6102.3,0.33933388757868305,
2020-03-12,Sörmland,SE-D,,county,7,0,294695,6102.3,2.3753372130507815,
2020-03-13,Sörmland,SE-D,,county,10,0,294695,6102.3,3.3933388757868306,
2020-03-14,Sörmland,SE-D,,county,16,0,294695,6102.3,5.429342201258929,
2020-03-15,Sörmland,SE-D,,county,17,0,294695,6102.3,5.768676088837612,
2020-03-16,Sörmland,SE-D,,county,17,0,294695,6102.3,5.768676088837612,
2020-03-17,Sörmland,SE-D,,county,33,0,294695,6102.3,11.19801829009654,
2020-03-18,Sörmland,SE-D,,county,37,0,294695,6102.3,12.555353840411273,
2020-03-19,Sörmland,SE-D,,county,38,0,294695,6102.3,12.894687727989956,
2020-03-20,Sörmland,SE-D,,county,43,0,294695,6102.3,14.59135716588337,
2020-03-21,Sörmland,SE-D,,county,47,0,294695,6102.3,15.948692716198103,
2020-03-22,Sörmland,SE-D,,county,53,0,294695,6102.3,17.9846960416702,
2020-03-23,Sörmland,SE-D,,county,64,0,294695,6102.3,21.717368805035715,
2020-03-24,Sörmland,SE-D,,county,66,8,294695,6102.3,22.39603658019308,
2020-03-25,Sörmland,SE-D,,county,85,8,294695,6102.3,28.843380444188057,
2020-03-26,Sörmland,SE-D,,county,114,9,294695,6102.3,38.68406318396987,
2020-03-27,Sörmland,SE-D,,county,126,9,294695,6102.3,42.3472480773926,20
2020-03-28,Sörmland,SE-D,,county,159,11,294695,6102.3,53.4381942749023,21
2020-03-29,Sörmland,SE-D,,county,160,11,294695,6102.3,53.7742805480957,24
2020-03-30,Sörmland,SE-D,,county,203,12,294695,6102.3,68.2261199951172,27
2020-03-31,Sörmland,SE-D,,county,239,18,294695,6102.3,80.3253326416016,34
2020-04-01,Sörmland,SE-D,,county,276,24,294695,6102.3,92.7606353759766,37
2020-04-02,Sörmland,SE-D,,county,335,27,294695,6102.3,112.589904785156,38
2020-04-03,Sörmland,SE-D,,county,398,35,294695,6102.3,133.763534545898,41
2020-04-04,Sörmland,SE-D,,county,412,45,294695,6102.3,138.468780517578,45
2020-04-05,Sörmland,SE-D,,county,424,45,294695,6102.3,142.501846313477,44
2020-04-06,Sörmland,SE-D,,county,452,50,294695,6102.3,151.912353515625,49
2020-04-07,Sörmland,SE-D,,county,478,64,294695,6102.3,160.650665283203,57
2020-04-08,Sörmland,SE-D,,county,539,68,294695,6102.3,181.152114868164,65
2020-04-09,Sörmland,SE-D,,county,568,78,294695,6102.3,190.898696899414,64
2020-04-10,Sörmland,SE-D,,county,597,82,294695,6102.3,200.645294189453,62
2020-04-11,Sörmland,SE-D,,county,639,83,294695,6102.3,214.761047363281,57
2020-04-12,Sörmland,SE-D,,county,661,83,294695,6102.3,222.154998779297,64
2020-04-13,Sörmland,SE-D,,county,668,83,294695,6102.3,224.507629394531,65
2020-04-14,Sörmland,SE-D,,county,694,91,294695,6102.3,233.245956420898,64
2020-04-15,Sörmland,SE-D,,county,711,113,294695,6102.3,238.95947265625,75
2020-04-16,Sörmland,SE-D,,county,777,116,294695,6102.3,261.141357421875,71
2020-04-17,Sörmland,SE-D,,county,831,118,294695,6102.3,279.290191650391,70
2020-04-18,Sörmland,SE-D,,county,854,125,294695,6102.3,287.020233154297,72
2020-04-19,Sörmland,SE-D,,county,872,125,294695,6102.3,293.06982421875,73
2020-04-20,Sörmland,SE-D,,county,884,128,294695,6102.3,297.102905273438,75
2020-04-21,Sörmland,SE-D,,county,898,136,294695,6102.3,301.808166503906,78
2020-04-22,Sörmland,SE-D,,county,944,147,294695,6102.3,317.268280029297,78
2020-04-23,Sörmland,SE-D,,county,1004,150,294695,6102.3,337.433624267578,80
2020-04-24,Sörmland,SE-D,,county,1057,153,294695,6102.3,355.246368408203,83
2020-04-25,Sörmland,SE-D,,county,1081,153,294695,6102.3,363.3125,83
2020-04-26,Sörmland,SE-D,,county,1089,153,294695,6102.3,366.001220703125,82
2020-04-27,Sörmland,SE-D,,county,1092,158,294695,6102.3,367.009490966797,87
2020-04-28,Sörmland,SE-D,,county,1107,158,294695,6102.3,372.050811767578,88
2020-04-29,Sörmland,SE-D,,county,1176,162,294695,6102.3,395.240966796875,95
2020-04-30,Sörmland,SE-D,,county,1215,165,294695,6102.3,408.348449707031,96
2020-05-01,Sörmland,SE-D,,county,1222,171,294695,6102.3,410.701080322266,98
2020-05-02,Sörmland,SE-D,,county,1277,171,294695,6102.3,429.186004638672,98
2020-05-03,Sörmland,SE-D,,county,1280,171,294695,6102.3,430.194244384766,98
