date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Los Ríos,CL-LR,,,region,114,2
2020-04-09,Los Ríos,CL-LR,,,region,118,2
2020-04-10,Los Ríos,CL-LR,,,region,124,2
2020-04-11,Los Ríos,CL-LR,,,region,130,2
2020-04-12,Los Ríos,CL-LR,,,region,135,3
2020-04-13,Los Ríos,CL-LR,,,region,138,3
2020-04-14,Los Ríos,CL-LR,,,region,148,3
2020-04-15,Los Ríos,CL-LR,,,region,150,3
2020-04-16,Los Ríos,CL-LR,,,region,153,3
2020-04-17,Los Ríos,CL-LR,,,region,154,3
2020-04-18,Los Ríos,CL-LR,,,region,156,3
2020-04-19,Los Ríos,CL-LR,,,region,157,3
2020-04-20,Los Ríos,CL-LR,,,region,157,3
