date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Los Ríos,CL-LR,,,region,114,2
2020-04-09,Los Ríos,CL-LR,,,region,118,2
2020-04-10,Los Ríos,CL-LR,,,region,124,2
2020-04-11,Los Ríos,CL-LR,,,region,130,2
2020-04-12,Los Ríos,CL-LR,,,region,135,3
2020-04-13,Los Ríos,CL-LR,,,region,138,3
2020-04-14,Los Ríos,CL-LR,,,region,148,3
2020-04-15,Los Ríos,CL-LR,,,region,150,3
2020-04-16,Los Ríos,CL-LR,,,region,153,3
2020-04-17,Los Ríos,CL-LR,,,region,154,3
2020-04-18,Los Ríos,CL-LR,,,region,156,3
2020-04-19,Los Ríos,CL-LR,,,region,157,3
2020-04-20,Los Ríos,CL-LR,,,region,162,3
2020-04-21,Los Ríos,CL-LR,,,region,167,3
2020-04-22,Los Ríos,CL-LR,,,region,171,3
2020-04-23,Los Ríos,CL-LR,,,region,173,3
2020-04-24,Los Ríos,CL-LR,,,region,174,3
2020-04-25,Los Ríos,CL-LR,,,region,177,3
2020-04-26,Los Ríos,CL-LR,,,region,178,3
2020-04-27,Los Ríos,CL-LR,,,region,180,3
2020-04-28,Los Ríos,CL-LR,,,region,180,4
2020-04-29,Los Ríos,CL-LR,,,region,182,4
2020-04-30,Los Ríos,CL-LR,,,region,189,4
2020-05-01,Los Ríos,CL-LR,,,region,189,4
2020-05-02,Los Ríos,CL-LR,,,region,196,4
2020-05-03,Los Ríos,CL-LR,,,region,198,4
2020-05-04,Los Ríos,CL-LR,,,region,199,4
2020-05-05,Los Ríos,CL-LR,,,region,199,4
2020-05-06,Los Ríos,CL-LR,,,region,199,4
