date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Magallanes,CL-MA,,,region,266,3
2020-04-09,Magallanes,CL-MA,,,region,286,3
2020-04-10,Magallanes,CL-MA,,,region,331,3
2020-04-11,Magallanes,CL-MA,,,region,377,3
2020-04-12,Magallanes,CL-MA,,,region,396,4
2020-04-13,Magallanes,CL-MA,,,region,415,5
2020-04-14,Magallanes,CL-MA,,,region,429,6
2020-04-15,Magallanes,CL-MA,,,region,444,6
2020-04-16,Magallanes,CL-MA,,,region,467,6
2020-04-17,Magallanes,CL-MA,,,region,501,6
2020-04-18,Magallanes,CL-MA,,,region,522,6
2020-04-19,Magallanes,CL-MA,,,region,553,6
2020-04-20,Magallanes,CL-MA,,,region,566,6
2020-04-21,Magallanes,CL-MA,,,region,593,7
2020-04-22,Magallanes,CL-MA,,,region,605,7
2020-04-23,Magallanes,CL-MA,,,region,615,7
2020-04-24,Magallanes,CL-MA,,,region,624,8
2020-04-25,Magallanes,CL-MA,,,region,655,8
2020-04-26,Magallanes,CL-MA,,,region,668,9
2020-04-27,Magallanes,CL-MA,,,region,671,10
2020-04-28,Magallanes,CL-MA,,,region,693,10
2020-04-29,Magallanes,CL-MA,,,region,714,11
2020-04-30,Magallanes,CL-MA,,,region,725,11
2020-05-01,Magallanes,CL-MA,,,region,726,11
2020-05-02,Magallanes,CL-MA,,,region,752,11
2020-05-03,Magallanes,CL-MA,,,region,777,11
2020-05-04,Magallanes,CL-MA,,,region,795,11
2020-05-05,Magallanes,CL-MA,,,region,809,11
2020-05-06,Magallanes,CL-MA,,,region,818,11
2020-05-07,Magallanes,CL-MA,,,region,836,11
2020-05-08,Magallanes,CL-MA,,,region,867,11
2020-05-09,Magallanes,CL-MA,,,region,881,11
2020-05-10,Magallanes,CL-MA,,,region,893,13
2020-05-11,Magallanes,CL-MA,,,region,901,14
2020-05-12,Magallanes,CL-MA,,,region,910,14
2020-05-13,Magallanes,CL-MA,,,region,921,16
2020-05-14,Magallanes,CL-MA,,,region,935,16
2020-05-15,Magallanes,CL-MA,,,region,937,16
2020-05-16,Magallanes,CL-MA,,,region,952,16
2020-05-17,Magallanes,CL-MA,,,region,961,16
2020-05-18,Magallanes,CL-MA,,,region,971,16
2020-05-19,Magallanes,CL-MA,,,region,972,17
2020-05-20,Magallanes,CL-MA,,,region,977,18
2020-05-21,Magallanes,CL-MA,,,region,987,18
2020-05-22,Magallanes,CL-MA,,,region,992,18
2020-05-23,Magallanes,CL-MA,,,region,997,18
2020-05-24,Magallanes,CL-MA,,,region,1010,18
2020-05-25,Magallanes,CL-MA,,,region,1016,18
2020-05-26,Magallanes,CL-MA,,,region,1031,18
2020-05-27,Magallanes,CL-MA,,,region,1037,18
2020-05-28,Magallanes,CL-MA,,,region,1040,18
2020-05-29,Magallanes,CL-MA,,,region,1047,19
2020-05-30,Magallanes,CL-MA,,,region,1054,19
