date,iso,region,city,place_type,cases,deaths
2020-03-26,PE-LIM,Lima,,departamento,453,6
2020-03-29,PE-LIM,Lima,,departamento,518,9
2020-04-06,PE-LIM,Lima,,departamento,1639,51
2020-04-26,PE-LIM,Lima,,departamento,17884,303
2020-04-27,PE-LIM,Lima,,departamento,18571,332
2020-04-28,PE-LIM,Lima,,departamento,20048,358
2020-04-29,PE-LIM,Lima,,departamento,20048,358
2020-05-03,PE-LIM,Lima,,departamento,28990,517
2020-05-04,PE-LIM,Lima,,departamento,29842,529
2020-05-05,PE-LIM,Lima,,departamento,32339,584
2020-05-06,PE-LIM,Lima,,departamento,32339,584
2020-05-07,PE-LIM,Lima,,departamento,37606,636
2020-05-08,PE-LIM,Lima,,departamento,39837,653
2020-05-09,PE-LIM,Lima,,departamento,39837,653
2020-05-10,PE-LIM,Lima,,departamento,43284,672
2020-05-11,PE-LIM,Lima,,departamento,44333,689
2020-05-12,PE-LIM,Lima,,departamento,46507,725
2020-05-13,PE-LIM,Lima,,departamento,49605,791
2020-05-14,PE-LIM,Lima,,departamento,52545,817
2020-05-15,PE-LIM,Lima,,departamento,54901,820
2020-05-16,PE-LIM,Lima,,departamento,57473,857
2020-05-17,PE-LIM,Lima,,departamento,57473,857
2020-05-18,PE-LIM,Lima,,departamento,57473,857
