date,iso,state,city,place_type,cases,deaths,recovered
2020-01-25,ACT,Australian Capital Territory,,territory,0,0,0
2020-01-26,ACT,Australian Capital Territory,,territory,0,0,0
2020-01-27,ACT,Australian Capital Territory,,territory,0,0,0
2020-01-28,ACT,Australian Capital Territory,,territory,0,0,0
2020-01-29,ACT,Australian Capital Territory,,territory,0,0,0
2020-01-30,ACT,Australian Capital Territory,,territory,0,0,0
2020-01-31,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-01,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-02,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-03,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-04,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-05,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-06,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-07,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-08,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-09,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-10,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-11,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-12,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-13,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-14,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-15,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-16,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-17,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-18,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-19,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-20,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-21,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-22,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-23,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-24,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-25,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-26,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-27,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-28,ACT,Australian Capital Territory,,territory,0,0,0
2020-02-29,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-01,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-02,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-03,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-04,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-05,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-06,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-07,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-08,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-09,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-10,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-11,ACT,Australian Capital Territory,,territory,0,0,0
2020-03-12,ACT,Australian Capital Territory,,territory,1,0,0
2020-03-13,ACT,Australian Capital Territory,,territory,1,0,0
2020-03-14,ACT,Australian Capital Territory,,territory,1,0,0
2020-03-15,ACT,Australian Capital Territory,,territory,1,0,0
2020-03-16,ACT,Australian Capital Territory,,territory,2,0,0
2020-03-17,ACT,Australian Capital Territory,,territory,2,0,0
2020-03-18,ACT,Australian Capital Territory,,territory,3,0,0
2020-03-19,ACT,Australian Capital Territory,,territory,4,0,0
2020-03-20,ACT,Australian Capital Territory,,territory,6,0,0
2020-03-21,ACT,Australian Capital Territory,,territory,9,0,0
2020-03-22,ACT,Australian Capital Territory,,territory,19,0,0
