date,iso,state,city,place_type,cases,deaths,recovered
2020-01-25,WA,Western Australia,,state,0,0,
2020-01-26,WA,Western Australia,,state,0,0,
2020-01-27,WA,Western Australia,,state,0,0,
2020-01-28,WA,Western Australia,,state,0,0,
2020-01-29,WA,Western Australia,,state,0,0,
2020-01-30,WA,Western Australia,,state,0,0,
2020-01-31,WA,Western Australia,,state,0,0,
2020-02-01,WA,Western Australia,,state,0,0,
2020-02-02,WA,Western Australia,,state,0,0,
2020-02-03,WA,Western Australia,,state,0,0,
2020-02-04,WA,Western Australia,,state,0,0,
2020-02-05,WA,Western Australia,,state,0,0,
2020-02-06,WA,Western Australia,,state,0,0,
2020-02-07,WA,Western Australia,,state,0,0,
2020-02-08,WA,Western Australia,,state,0,0,
2020-02-09,WA,Western Australia,,state,0,0,
2020-02-10,WA,Western Australia,,state,0,0,
2020-02-11,WA,Western Australia,,state,0,0,
2020-02-12,WA,Western Australia,,state,0,0,
2020-02-13,WA,Western Australia,,state,0,0,
2020-02-14,WA,Western Australia,,state,0,0,
2020-02-15,WA,Western Australia,,state,0,0,
2020-02-16,WA,Western Australia,,state,0,0,
2020-02-17,WA,Western Australia,,state,0,0,
2020-02-18,WA,Western Australia,,state,0,0,
2020-02-19,WA,Western Australia,,state,0,0,
2020-02-20,WA,Western Australia,,state,0,0,
2020-02-21,WA,Western Australia,,state,1,0,
2020-02-22,WA,Western Australia,,state,1,0,
2020-02-23,WA,Western Australia,,state,1,0,
2020-02-24,WA,Western Australia,,state,1,0,
2020-02-25,WA,Western Australia,,state,1,0,
2020-02-26,WA,Western Australia,,state,1,0,
2020-02-27,WA,Western Australia,,state,1,0,
2020-02-28,WA,Western Australia,,state,2,0,
2020-02-29,WA,Western Australia,,state,2,0,
2020-03-01,WA,Western Australia,,state,2,1,
2020-03-02,WA,Western Australia,,state,2,1,
2020-03-03,WA,Western Australia,,state,2,1,
2020-03-04,WA,Western Australia,,state,2,1,
2020-03-05,WA,Western Australia,,state,3,1,
2020-03-06,WA,Western Australia,,state,3,1,
2020-03-07,WA,Western Australia,,state,3,1,
2020-03-08,WA,Western Australia,,state,4,1,
2020-03-09,WA,Western Australia,,state,6,1,
2020-03-10,WA,Western Australia,,state,6,1,
2020-03-11,WA,Western Australia,,state,9,1,
2020-03-12,WA,Western Australia,,state,9,1,
2020-03-13,WA,Western Australia,,state,14,1,
2020-03-14,WA,Western Australia,,state,17,1,
2020-03-15,WA,Western Australia,,state,18,1,
2020-03-16,WA,Western Australia,,state,28,1,
2020-03-17,WA,Western Australia,,state,31,1,
2020-03-18,WA,Western Australia,,state,35,1,
2020-03-19,WA,Western Australia,,state,52,1,
2020-03-20,WA,Western Australia,,state,64,1,
2020-03-21,WA,Western Australia,,state,90,1,
2020-03-22,WA,Western Australia,,state,120,1,
2020-03-23,WA,Western Australia,,state,140,1,6
2020-03-24,WA,Western Australia,,state,175,1,6
2020-03-25,WA,Western Australia,,state,205,1,6
2020-03-26,WA,Western Australia,,state,231,2,23
2020-03-27,WA,Western Australia,,state,255,2,28
2020-03-28,WA,Western Australia,,state,278,2,28
2020-03-29,WA,Western Australia,,state,311,2,28
2020-03-30,WA,Western Australia,,state,355,2,41
2020-03-31,WA,Western Australia,,state,364,2,48
2020-04-01,WA,Western Australia,,state,392,2,64
2020-04-02,WA,Western Australia,,state,400,2,92
2020-04-03,WA,Western Australia,,state,422,3,92
2020-04-04,WA,Western Australia,,state,436,3,92
2020-04-05,WA,Western Australia,,state,453,3,148
2020-04-06,WA,Western Australia,,state,460,4,162
2020-04-07,WA,Western Australia,,state,470,6,170
2020-04-08,WA,Western Australia,,state,481,6,170
2020-04-09,WA,Western Australia,,state,495,6,187
2020-04-10,WA,Western Australia,,state,506,6,203
2020-04-11,WA,Western Australia,,state,514,6,216
2020-04-12,WA,Western Australia,,state,517,6,239
2020-04-13,WA,Western Australia,,state,523,6,251
2020-04-14,WA,Western Australia,,state,527,6,296
2020-04-15,WA,Western Australia,,state,532,6,338
2020-04-16,WA,Western Australia,,state,535,6,340
2020-04-17,WA,Western Australia,,state,541,7,377
2020-04-18,WA,Western Australia,,state,544,7,388
2020-04-19,WA,Western Australia,,state,545,7,426
2020-04-20,WA,Western Australia,,state,545,7,435
2020-04-21,WA,Western Australia,,state,546,7,443
2020-04-22,WA,Western Australia,,state,546,7,451
2020-04-23,WA,Western Australia,,state,546,7,458
2020-04-24,WA,Western Australia,,state,548,8,464
2020-04-25,WA,Western Australia,,state,549,8,478
2020-04-26,WA,Western Australia,,state,549,8,486
2020-04-27,WA,Western Australia,,state,549,8,486
2020-04-28,WA,Western Australia,,state,550,8,495
2020-04-29,WA,Western Australia,,state,551,8,500
2020-04-30,WA,Western Australia,,state,551,8,507
2020-05-01,WA,Western Australia,,state,551,8,511
2020-05-02,WA,Western Australia,,state,551,8,520
2020-05-03,WA,Western Australia,,state,551,9,523
2020-05-04,WA,Western Australia,,state,551,9,527
2020-05-05,WA,Western Australia,,state,551,9,528
2020-05-06,WA,Western Australia,,state,551,9,528
2020-05-07,WA,Western Australia,,state,551,9,531
2020-05-08,WA,Western Australia,,state,552,9,534
2020-05-09,WA,Western Australia,,state,552,9,536
2020-05-10,WA,Western Australia,,state,552,9,536
2020-05-11,WA,Western Australia,,state,552,9,536
2020-05-12,WA,Western Australia,,state,553,9,537
2020-05-13,WA,Western Australia,,state,553,9,538
2020-05-14,WA,Western Australia,,state,554,9,538
2020-05-15,WA,Western Australia,,state,554,9,538
2020-05-16,WA,Western Australia,,state,556,9,541
2020-05-17,WA,Western Australia,,state,557,9,543
2020-05-18,WA,Western Australia,,state,557,9,545
2020-05-19,WA,Western Australia,,state,557,9,545
2020-05-20,WA,Western Australia,,state,557,9,545
2020-05-21,WA,Western Australia,,state,557,9,545
2020-05-22,WA,Western Australia,,state,557,9,545
2020-05-23,WA,Western Australia,,state,560,9,549
2020-05-24,WA,Western Australia,,state,560,9,549
2020-05-25,WA,Western Australia,,state,564,9,549
2020-05-26,WA,Western Australia,,state,570,9,549
2020-05-27,WA,Western Australia,,state,570,9,549
2020-05-28,WA,Western Australia,,state,577,9,550
2020-05-29,WA,Western Australia,,state,585,9,551
2020-05-30,WA,Western Australia,,state,586,9,552
2020-05-31,WA,Western Australia,,state,589,9,552
2020-06-01,WA,Western Australia,,state,591,9,553
2020-06-02,WA,Western Australia,,state,591,9,553
2020-06-03,WA,Western Australia,,state,592,9,557
2020-06-04,WA,Western Australia,,state,592,9,557
2020-06-05,WA,Western Australia,,state,596,9,557
2020-06-06,WA,Western Australia,,state,599,9,559
2020-06-07,WA,Western Australia,,state,599,9,559
2020-06-08,WA,Western Australia,,state,599,9,559
2020-06-09,WA,Western Australia,,state,599,9,560
2020-06-10,WA,Western Australia,,state,601,9,564
2020-06-11,WA,Western Australia,,state,601,9,571
2020-06-12,WA,Western Australia,,state,602,9,575
2020-06-13,WA,Western Australia,,state,602,9,575
2020-06-14,WA,Western Australia,,state,602,9,582
2020-06-15,WA,Western Australia,,state,602,9,591
2020-06-16,WA,Western Australia,,state,602,9,591
2020-06-17,WA,Western Australia,,state,602,9,592
2020-06-18,WA,Western Australia,,state,603,9,592
2020-06-19,WA,Western Australia,,state,603,9,592
2020-06-20,WA,Western Australia,,state,604,9,593
2020-06-21,WA,Western Australia,,state,605,9,593
2020-06-22,WA,Western Australia,,state,605,9,593
2020-06-23,WA,Western Australia,,state,607,9,594
2020-06-24,WA,Western Australia,,state,607,9,594
2020-06-25,WA,Western Australia,,state,608,9,595
2020-06-26,WA,Western Australia,,state,608,9,595
2020-06-27,WA,Western Australia,,state,608,9,595
2020-06-28,WA,Western Australia,,state,609,9,595
2020-06-29,WA,Western Australia,,state,609,9,596
2020-06-30,WA,Western Australia,,state,611,9,598
2020-07-01,WA,Western Australia,,state,611,9,598
2020-07-02,WA,Western Australia,,state,611,9,598
2020-07-03,WA,Western Australia,,state,611,9,598
2020-07-04,WA,Western Australia,,state,612,9,600
2020-07-05,WA,Western Australia,,state,618,9,600
2020-07-06,WA,Western Australia,,state,621,9,600
2020-07-07,WA,Western Australia,,state,621,9,600
2020-07-08,WA,Western Australia,,state,624,9,602
2020-07-09,WA,Western Australia,,state,627,9,602
2020-07-10,WA,Western Australia,,state,630,9,602
2020-07-11,WA,Western Australia,,state,634,9,604
