date,iso,state,city,place_type,cases,deaths,recovered
2020-01-25,TAS,Tasmania,,state,0,0,
2020-01-26,TAS,Tasmania,,state,0,0,
2020-01-27,TAS,Tasmania,,state,0,0,
2020-01-28,TAS,Tasmania,,state,0,0,
2020-01-29,TAS,Tasmania,,state,0,0,
2020-01-30,TAS,Tasmania,,state,0,0,
2020-01-31,TAS,Tasmania,,state,0,0,
2020-02-01,TAS,Tasmania,,state,0,0,
2020-02-02,TAS,Tasmania,,state,0,0,
2020-02-03,TAS,Tasmania,,state,0,0,
2020-02-04,TAS,Tasmania,,state,0,0,
2020-02-05,TAS,Tasmania,,state,0,0,
2020-02-06,TAS,Tasmania,,state,0,0,
2020-02-07,TAS,Tasmania,,state,0,0,
2020-02-08,TAS,Tasmania,,state,0,0,
2020-02-09,TAS,Tasmania,,state,0,0,
2020-02-10,TAS,Tasmania,,state,0,0,
2020-02-11,TAS,Tasmania,,state,0,0,
2020-02-12,TAS,Tasmania,,state,0,0,
2020-02-13,TAS,Tasmania,,state,0,0,
2020-02-14,TAS,Tasmania,,state,0,0,
2020-02-15,TAS,Tasmania,,state,0,0,
2020-02-16,TAS,Tasmania,,state,0,0,
2020-02-17,TAS,Tasmania,,state,0,0,
2020-02-18,TAS,Tasmania,,state,0,0,
2020-02-19,TAS,Tasmania,,state,0,0,
2020-02-20,TAS,Tasmania,,state,0,0,
2020-02-21,TAS,Tasmania,,state,0,0,
2020-02-22,TAS,Tasmania,,state,0,0,
2020-02-23,TAS,Tasmania,,state,0,0,
2020-02-24,TAS,Tasmania,,state,0,0,
2020-02-25,TAS,Tasmania,,state,0,0,
2020-02-26,TAS,Tasmania,,state,0,0,
2020-02-27,TAS,Tasmania,,state,0,0,
2020-02-28,TAS,Tasmania,,state,0,0,
2020-02-29,TAS,Tasmania,,state,0,0,
2020-03-01,TAS,Tasmania,,state,0,0,
2020-03-02,TAS,Tasmania,,state,0,0,
2020-03-03,TAS,Tasmania,,state,1,0,
2020-03-04,TAS,Tasmania,,state,1,0,
2020-03-05,TAS,Tasmania,,state,1,0,
2020-03-06,TAS,Tasmania,,state,1,0,
2020-03-07,TAS,Tasmania,,state,2,0,
2020-03-08,TAS,Tasmania,,state,2,0,
2020-03-09,TAS,Tasmania,,state,2,0,
2020-03-10,TAS,Tasmania,,state,2,0,
2020-03-11,TAS,Tasmania,,state,3,0,
2020-03-12,TAS,Tasmania,,state,3,0,
2020-03-13,TAS,Tasmania,,state,4,0,
2020-03-14,TAS,Tasmania,,state,5,0,
2020-03-15,TAS,Tasmania,,state,6,0,1
2020-03-16,TAS,Tasmania,,state,7,0,
2020-03-17,TAS,Tasmania,,state,7,0,
2020-03-18,TAS,Tasmania,,state,10,0,3
2020-03-19,TAS,Tasmania,,state,10,0,3
2020-03-20,TAS,Tasmania,,state,10,0,3
2020-03-21,TAS,Tasmania,,state,16,0,3
2020-03-22,TAS,Tasmania,,state,22,0,3
2020-03-23,TAS,Tasmania,,state,28,0,3
2020-03-24,TAS,Tasmania,,state,36,0,3
2020-03-25,TAS,Tasmania,,state,42,0,4
2020-03-26,TAS,Tasmania,,state,47,0,
2020-03-27,TAS,Tasmania,,state,58,0,5
2020-03-28,TAS,Tasmania,,state,62,0,
2020-03-29,TAS,Tasmania,,state,66,0,
2020-03-30,TAS,Tasmania,,state,69,1,
2020-03-31,TAS,Tasmania,,state,69,2,10
2020-04-01,TAS,Tasmania,,state,71,2,11
2020-04-02,TAS,Tasmania,,state,74,2,13
2020-04-03,TAS,Tasmania,,state,80,2,15
