date,state,county,place_type,fips,cases,deaths
2020-04-30,New Hampshire,,state,33,2146,72
2020-04-29,New Hampshire,,state,33,2054,66
2020-04-28,New Hampshire,,state,33,2010,60
2020-04-27,New Hampshire,,state,33,1938,60
2020-04-26,New Hampshire,,state,33,1864,60
2020-04-25,New Hampshire,,state,33,1793,60
2020-04-24,New Hampshire,,state,33,1720,53
2020-04-23,New Hampshire,,state,33,1670,51
2020-04-22,New Hampshire,,state,33,1588,48
2020-04-21,New Hampshire,,state,33,1491,42
2020-04-20,New Hampshire,,state,33,1447,42
2020-04-19,New Hampshire,,state,33,1392,41
2020-04-18,New Hampshire,,state,33,1342,38
2020-04-17,New Hampshire,,state,33,1287,37
2020-04-16,New Hampshire,,state,33,1211,34
2020-04-15,New Hampshire,,state,33,1139,32
2020-04-14,New Hampshire,,state,33,1091,27
2020-04-13,New Hampshire,,state,33,1020,23
2020-04-12,New Hampshire,,state,33,985,23
2020-04-11,New Hampshire,,state,33,929,23
2020-04-10,New Hampshire,,state,33,885,22
2020-04-09,New Hampshire,,state,33,819,21
2020-04-08,New Hampshire,,state,33,788,18
2020-04-07,New Hampshire,,state,33,747,13
2020-04-06,New Hampshire,,state,33,715,9
2020-04-05,New Hampshire,,state,33,669,9
2020-04-04,New Hampshire,,state,33,621,9
2020-04-03,New Hampshire,,state,33,540,7
2020-04-02,New Hampshire,,state,33,479,5
2020-04-01,New Hampshire,,state,33,415,4
2020-03-31,New Hampshire,,state,33,367,3
2020-03-30,New Hampshire,,state,33,314,3
2020-03-29,New Hampshire,,state,33,258,3
2020-03-28,New Hampshire,,state,33,214,2
2020-03-27,New Hampshire,,state,33,187,2
2020-03-26,New Hampshire,,state,33,158,1
2020-03-25,New Hampshire,,state,33,137,1
2020-03-24,New Hampshire,,state,33,108,1
2020-03-23,New Hampshire,,state,33,101,1
2020-03-22,New Hampshire,,state,33,78,0
2020-03-21,New Hampshire,,state,33,65,0
2020-03-20,New Hampshire,,state,33,55,0
2020-03-19,New Hampshire,,state,33,44,0
2020-03-18,New Hampshire,,state,33,39,0
2020-03-17,New Hampshire,,state,33,26,0
2020-03-16,New Hampshire,,state,33,17,0
2020-03-15,New Hampshire,,state,33,13,0
2020-03-14,New Hampshire,,state,33,7,0
2020-03-13,New Hampshire,,state,33,7,0
2020-03-12,New Hampshire,,state,33,6,0
2020-03-11,New Hampshire,,state,33,5,0
2020-03-10,New Hampshire,,state,33,5,0
2020-03-09,New Hampshire,,state,33,4,0
2020-03-08,New Hampshire,,state,33,4,0
2020-03-07,New Hampshire,,state,33,4,0
2020-03-06,New Hampshire,,state,33,2,0
2020-03-05,New Hampshire,,state,33,2,0
2020-03-04,New Hampshire,,state,33,2,0
2020-03-03,New Hampshire,,state,33,2,0
2020-03-02,New Hampshire,,state,33,1,0
2020-04-30,New Hampshire,Belknap,county,33001,34,0
2020-04-29,New Hampshire,Belknap,county,33001,33,0
2020-04-28,New Hampshire,Belknap,county,33001,34,0
2020-04-27,New Hampshire,Belknap,county,33001,35,0
2020-04-26,New Hampshire,Belknap,county,33001,31,0
2020-04-25,New Hampshire,Belknap,county,33001,31,0
2020-04-24,New Hampshire,Belknap,county,33001,30,0
2020-04-23,New Hampshire,Belknap,county,33001,28,0
2020-04-22,New Hampshire,Belknap,county,33001,28,0
2020-04-21,New Hampshire,Belknap,county,33001,28,0
2020-04-20,New Hampshire,Belknap,county,33001,26,0
2020-04-19,New Hampshire,Belknap,county,33001,26,0
2020-04-18,New Hampshire,Belknap,county,33001,25,0
2020-04-17,New Hampshire,Belknap,county,33001,25,0
2020-04-16,New Hampshire,Belknap,county,33001,24,0
2020-04-15,New Hampshire,Belknap,county,33001,24,0
2020-04-14,New Hampshire,Belknap,county,33001,24,0
2020-04-13,New Hampshire,Belknap,county,33001,22,0
2020-04-12,New Hampshire,Belknap,county,33001,22,0
2020-04-11,New Hampshire,Belknap,county,33001,21,0
2020-04-10,New Hampshire,Belknap,county,33001,21,0
2020-04-09,New Hampshire,Belknap,county,33001,21,0
2020-04-08,New Hampshire,Belknap,county,33001,21,0
2020-04-07,New Hampshire,Belknap,county,33001,21,0
2020-04-06,New Hampshire,Belknap,county,33001,18,0
2020-04-05,New Hampshire,Belknap,county,33001,17,0
2020-04-04,New Hampshire,Belknap,county,33001,17,0
2020-04-03,New Hampshire,Belknap,county,33001,14,0
2020-04-02,New Hampshire,Belknap,county,33001,13,0
2020-04-01,New Hampshire,Belknap,county,33001,13,0
2020-03-31,New Hampshire,Belknap,county,33001,12,0
2020-03-30,New Hampshire,Belknap,county,33001,12,0
2020-03-29,New Hampshire,Belknap,county,33001,9,0
2020-03-28,New Hampshire,Belknap,county,33001,9,0
2020-03-27,New Hampshire,Belknap,county,33001,9,0
2020-03-26,New Hampshire,Belknap,county,33001,8,0
2020-03-25,New Hampshire,Belknap,county,33001,8,0
2020-03-24,New Hampshire,Belknap,county,33001,7,0
2020-03-23,New Hampshire,Belknap,county,33001,7,0
2020-03-22,New Hampshire,Belknap,county,33001,4,0
2020-03-21,New Hampshire,Belknap,county,33001,3,0
2020-03-20,New Hampshire,Belknap,county,33001,3,0
2020-03-19,New Hampshire,Belknap,county,33001,3,0
2020-03-18,New Hampshire,Belknap,county,33001,2,0
2020-04-30,New Hampshire,Carroll,county,33003,31,0
2020-04-29,New Hampshire,Carroll,county,33003,31,0
2020-04-28,New Hampshire,Carroll,county,33003,31,0
2020-04-27,New Hampshire,Carroll,county,33003,31,0
2020-04-26,New Hampshire,Carroll,county,33003,30,0
2020-04-25,New Hampshire,Carroll,county,33003,30,0
2020-04-24,New Hampshire,Carroll,county,33003,30,0
2020-04-23,New Hampshire,Carroll,county,33003,30,0
2020-04-22,New Hampshire,Carroll,county,33003,30,0
2020-04-21,New Hampshire,Carroll,county,33003,30,0
2020-04-20,New Hampshire,Carroll,county,33003,30,0
2020-04-19,New Hampshire,Carroll,county,33003,30,0
2020-04-18,New Hampshire,Carroll,county,33003,30,0
2020-04-17,New Hampshire,Carroll,county,33003,32,0
2020-04-16,New Hampshire,Carroll,county,33003,29,0
