date,state,county,place_type,fips,cases,deaths
2020-06-14,Northern Mariana Islands,,state,69,30,2
2020-06-13,Northern Mariana Islands,,state,69,30,2
2020-06-12,Northern Mariana Islands,,state,69,30,2
2020-06-11,Northern Mariana Islands,,state,69,30,2
2020-06-10,Northern Mariana Islands,,state,69,30,2
2020-06-09,Northern Mariana Islands,,state,69,30,2
2020-06-08,Northern Mariana Islands,,state,69,28,2
2020-06-07,Northern Mariana Islands,,state,69,27,2
2020-06-06,Northern Mariana Islands,,state,69,26,2
2020-06-05,Northern Mariana Islands,,state,69,26,2
2020-06-04,Northern Mariana Islands,,state,69,26,2
2020-06-03,Northern Mariana Islands,,state,69,24,2
2020-06-02,Northern Mariana Islands,,state,69,23,2
2020-06-01,Northern Mariana Islands,,state,69,22,2
2020-05-31,Northern Mariana Islands,,state,69,22,2
2020-05-30,Northern Mariana Islands,,state,69,22,2
2020-05-29,Northern Mariana Islands,,state,69,22,2
2020-05-28,Northern Mariana Islands,,state,69,22,2
2020-05-27,Northern Mariana Islands,,state,69,22,2
2020-05-26,Northern Mariana Islands,,state,69,22,2
2020-05-25,Northern Mariana Islands,,state,69,22,2
2020-05-24,Northern Mariana Islands,,state,69,22,2
2020-05-23,Northern Mariana Islands,,state,69,22,2
2020-05-22,Northern Mariana Islands,,state,69,22,2
2020-05-21,Northern Mariana Islands,,state,69,22,2
2020-05-20,Northern Mariana Islands,,state,69,21,2
2020-05-19,Northern Mariana Islands,,state,69,21,2
2020-05-18,Northern Mariana Islands,,state,69,21,2
2020-05-17,Northern Mariana Islands,,state,69,21,2
2020-05-16,Northern Mariana Islands,,state,69,21,2
2020-05-15,Northern Mariana Islands,,state,69,19,2
2020-05-14,Northern Mariana Islands,,state,69,19,2
2020-05-13,Northern Mariana Islands,,state,69,19,2
2020-05-12,Northern Mariana Islands,,state,69,19,2
2020-05-11,Northern Mariana Islands,,state,69,19,2
2020-05-10,Northern Mariana Islands,,state,69,16,2
2020-05-09,Northern Mariana Islands,,state,69,16,2
2020-05-08,Northern Mariana Islands,,state,69,15,2
2020-05-07,Northern Mariana Islands,,state,69,15,2
2020-05-06,Northern Mariana Islands,,state,69,15,2
2020-05-05,Northern Mariana Islands,,state,69,14,2
2020-05-04,Northern Mariana Islands,,state,69,14,2
2020-05-03,Northern Mariana Islands,,state,69,14,2
2020-05-02,Northern Mariana Islands,,state,69,14,2
2020-05-01,Northern Mariana Islands,,state,69,14,2
2020-04-30,Northern Mariana Islands,,state,69,14,2
2020-04-29,Northern Mariana Islands,,state,69,14,2
2020-04-28,Northern Mariana Islands,,state,69,14,2
2020-04-27,Northern Mariana Islands,,state,69,14,2
2020-04-26,Northern Mariana Islands,,state,69,14,2
2020-04-25,Northern Mariana Islands,,state,69,14,2
2020-04-24,Northern Mariana Islands,,state,69,14,2
2020-04-23,Northern Mariana Islands,,state,69,14,2
2020-04-22,Northern Mariana Islands,,state,69,14,2
2020-04-21,Northern Mariana Islands,,state,69,14,2
2020-04-20,Northern Mariana Islands,,state,69,14,2
2020-04-19,Northern Mariana Islands,,state,69,14,2
2020-04-18,Northern Mariana Islands,,state,69,14,2
2020-04-17,Northern Mariana Islands,,state,69,14,2
2020-04-16,Northern Mariana Islands,,state,69,13,2
2020-04-15,Northern Mariana Islands,,state,69,13,2
2020-04-14,Northern Mariana Islands,,state,69,13,2
2020-04-13,Northern Mariana Islands,,state,69,11,2
2020-04-12,Northern Mariana Islands,,state,69,11,2
2020-04-11,Northern Mariana Islands,,state,69,11,2
2020-04-10,Northern Mariana Islands,,state,69,11,2
2020-04-09,Northern Mariana Islands,,state,69,11,2
2020-04-08,Northern Mariana Islands,,state,69,11,2
2020-04-07,Northern Mariana Islands,,state,69,8,2
2020-04-06,Northern Mariana Islands,,state,69,8,1
2020-04-05,Northern Mariana Islands,,state,69,8,1
2020-04-04,Northern Mariana Islands,,state,69,8,1
2020-04-03,Northern Mariana Islands,,state,69,8,1
2020-04-02,Northern Mariana Islands,,state,69,8,1
2020-04-01,Northern Mariana Islands,,state,69,6,1
2020-03-31,Northern Mariana Islands,,state,69,2,0
2020-03-30,Northern Mariana Islands,,state,69,2,0
2020-03-29,Northern Mariana Islands,,state,69,2,0
2020-03-28,Northern Mariana Islands,,state,69,2,0
2020-06-14,Northern Mariana Islands,Unknown,county,,30,2
2020-06-13,Northern Mariana Islands,Unknown,county,,30,2
2020-06-12,Northern Mariana Islands,Unknown,county,,30,2
2020-06-11,Northern Mariana Islands,Unknown,county,,30,2
2020-06-10,Northern Mariana Islands,Unknown,county,,30,2
2020-06-09,Northern Mariana Islands,Unknown,county,,30,2
2020-06-08,Northern Mariana Islands,Unknown,county,,28,2
2020-06-07,Northern Mariana Islands,Unknown,county,,27,2
2020-06-06,Northern Mariana Islands,Unknown,county,,26,2
2020-06-05,Northern Mariana Islands,Unknown,county,,26,2
2020-06-04,Northern Mariana Islands,Unknown,county,,26,2
2020-06-03,Northern Mariana Islands,Unknown,county,,24,2
2020-06-02,Northern Mariana Islands,Unknown,county,,23,2
2020-06-01,Northern Mariana Islands,Unknown,county,,22,2
2020-05-31,Northern Mariana Islands,Unknown,county,,22,2
2020-05-30,Northern Mariana Islands,Unknown,county,,22,2
2020-05-29,Northern Mariana Islands,Unknown,county,,22,2
2020-05-28,Northern Mariana Islands,Unknown,county,,22,2
2020-05-27,Northern Mariana Islands,Unknown,county,,22,2
2020-05-26,Northern Mariana Islands,Unknown,county,,22,2
2020-05-25,Northern Mariana Islands,Unknown,county,,22,2
2020-05-24,Northern Mariana Islands,Unknown,county,,22,2
2020-05-23,Northern Mariana Islands,Unknown,county,,22,2
2020-05-22,Northern Mariana Islands,Unknown,county,,22,2
2020-05-21,Northern Mariana Islands,Unknown,county,,22,2
2020-05-20,Northern Mariana Islands,Unknown,county,,21,2
2020-05-19,Northern Mariana Islands,Unknown,county,,21,2
2020-05-18,Northern Mariana Islands,Unknown,county,,21,2
2020-05-17,Northern Mariana Islands,Unknown,county,,21,2
2020-05-16,Northern Mariana Islands,Unknown,county,,21,2
2020-05-15,Northern Mariana Islands,Unknown,county,,19,2
2020-05-14,Northern Mariana Islands,Unknown,county,,19,2
2020-05-13,Northern Mariana Islands,Unknown,county,,19,2
