date,state,county,place_type,fips,cases,deaths
2020-06-30,Idaho,,state,16,6124,92
2020-06-29,Idaho,,state,16,5770,91
2020-06-28,Idaho,,state,16,5543,91
2020-06-27,Idaho,,state,16,5319,92
2020-06-26,Idaho,,state,16,5149,91
2020-06-25,Idaho,,state,16,4869,91
2020-06-24,Idaho,,state,16,4650,91
2020-06-23,Idaho,,state,16,4412,90
2020-06-22,Idaho,,state,16,4267,90
2020-06-21,Idaho,,state,16,4025,90
2020-06-20,Idaho,,state,16,4006,90
2020-06-19,Idaho,,state,16,3871,90
2020-06-18,Idaho,,state,16,3744,90
2020-06-17,Idaho,,state,16,3634,89
2020-06-16,Idaho,,state,16,3543,89
2020-06-15,Idaho,,state,16,3472,89
2020-06-14,Idaho,,state,16,3413,88
2020-06-13,Idaho,,state,16,3399,87
2020-06-12,Idaho,,state,16,3354,87
2020-06-11,Idaho,,state,16,3303,86
2020-06-10,Idaho,,state,16,3262,85
2020-06-09,Idaho,,state,16,3226,85
2020-06-08,Idaho,,state,16,3197,83
2020-06-07,Idaho,,state,16,3153,83
2020-06-06,Idaho,,state,16,3139,83
2020-06-05,Idaho,,state,16,3111,83
2020-06-04,Idaho,,state,16,3054,83
2020-06-03,Idaho,,state,16,2990,83
2020-06-02,Idaho,,state,16,2935,83
2020-06-01,Idaho,,state,16,2908,83
2020-05-31,Idaho,,state,16,2855,82
2020-05-30,Idaho,,state,16,2840,82
2020-05-29,Idaho,,state,16,2804,82
2020-05-28,Idaho,,state,16,2770,82
2020-05-27,Idaho,,state,16,2731,82
2020-05-26,Idaho,,state,16,2699,81
2020-05-25,Idaho,,state,16,2664,79
2020-05-24,Idaho,,state,16,2650,79
2020-05-23,Idaho,,state,16,2626,79
2020-05-22,Idaho,,state,16,2595,79
2020-05-21,Idaho,,state,16,2534,77
2020-05-20,Idaho,,state,16,2506,77
2020-05-19,Idaho,,state,16,2476,77
2020-05-18,Idaho,,state,16,2455,74
2020-05-17,Idaho,,state,16,2421,73
2020-05-16,Idaho,,state,16,2419,73
2020-05-15,Idaho,,state,16,2389,73
2020-05-14,Idaho,,state,16,2352,72
2020-05-13,Idaho,,state,16,2325,69
2020-05-12,Idaho,,state,16,2294,69
2020-05-11,Idaho,,state,16,2261,69
2020-05-10,Idaho,,state,16,2232,67
2020-05-09,Idaho,,state,16,2230,67
2020-05-08,Idaho,,state,16,2205,67
2020-05-07,Idaho,,state,16,2178,67
2020-05-06,Idaho,,state,16,2158,67
2020-05-05,Idaho,,state,16,2127,66
2020-05-04,Idaho,,state,16,2106,64
2020-05-03,Idaho,,state,16,2059,64
2020-05-02,Idaho,,state,16,2061,64
2020-05-01,Idaho,,state,16,2035,63
2020-04-30,Idaho,,state,16,2016,63
2020-04-29,Idaho,,state,16,1984,60
2020-04-28,Idaho,,state,16,1952,60
2020-04-27,Idaho,,state,16,1917,58
2020-04-26,Idaho,,state,16,1897,56
2020-04-25,Idaho,,state,16,1887,56
2020-04-24,Idaho,,state,16,1870,54
2020-04-23,Idaho,,state,16,1836,54
2020-04-22,Idaho,,state,16,1802,54
2020-04-21,Idaho,,state,16,1766,51
2020-04-20,Idaho,,state,16,1736,48
2020-04-19,Idaho,,state,16,1672,45
2020-04-18,Idaho,,state,16,1668,44
2020-04-17,Idaho,,state,16,1655,43
2020-04-16,Idaho,,state,16,1609,41
2020-04-15,Idaho,,state,16,1587,41
2020-04-14,Idaho,,state,16,1538,39
2020-04-13,Idaho,,state,16,1499,33
2020-04-12,Idaho,,state,16,1457,27
2020-04-11,Idaho,,state,16,1438,27
2020-04-10,Idaho,,state,16,1425,25
2020-04-09,Idaho,,state,16,1366,24
2020-04-08,Idaho,,state,16,1232,19
2020-04-07,Idaho,,state,16,1210,15
2020-04-06,Idaho,,state,16,1170,13
2020-04-05,Idaho,,state,16,1100,10
2020-04-04,Idaho,,state,16,1076,10
2020-04-03,Idaho,,state,16,1012,10
2020-04-02,Idaho,,state,16,891,9
2020-04-01,Idaho,,state,16,669,9
2020-03-31,Idaho,,state,16,526,9
2020-03-30,Idaho,,state,16,415,7
2020-03-29,Idaho,,state,16,310,6
2020-03-28,Idaho,,state,16,262,5
2020-03-27,Idaho,,state,16,232,4
2020-03-26,Idaho,,state,16,189,3
2020-03-25,Idaho,,state,16,123,0
2020-03-24,Idaho,,state,16,73,0
2020-03-23,Idaho,,state,16,50,0
2020-03-22,Idaho,,state,16,47,0
2020-03-21,Idaho,,state,16,42,0
2020-03-20,Idaho,,state,16,31,0
2020-03-19,Idaho,,state,16,23,0
2020-03-18,Idaho,,state,16,11,0
2020-03-17,Idaho,,state,16,9,0
2020-03-16,Idaho,,state,16,5,0
2020-03-15,Idaho,,state,16,5,0
2020-03-14,Idaho,,state,16,5,0
2020-03-13,Idaho,,state,16,1,0
2020-06-30,Idaho,Ada,county,16001,2169,23
2020-06-29,Idaho,Ada,county,16001,2040,23
2020-06-28,Idaho,Ada,county,16001,1841,23
2020-06-27,Idaho,Ada,county,16001,1841,23
2020-06-26,Idaho,Ada,county,16001,1752,23
2020-06-25,Idaho,Ada,county,16001,1585,23
2020-06-24,Idaho,Ada,county,16001,1484,23
2020-06-23,Idaho,Ada,county,16001,1383,22
2020-06-22,Idaho,Ada,county,16001,1307,22
2020-06-21,Idaho,Ada,county,16001,1166,22
2020-06-20,Idaho,Ada,county,16001,1166,22
2020-06-19,Idaho,Ada,county,16001,1100,22
2020-06-18,Idaho,Ada,county,16001,1043,22
2020-06-17,Idaho,Ada,county,16001,986,22
2020-06-16,Idaho,Ada,county,16001,947,22
2020-06-15,Idaho,Ada,county,16001,915,22
2020-06-14,Idaho,Ada,county,16001,892,22
2020-06-13,Idaho,Ada,county,16001,892,22
