dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
16/04/2020,16,4,2020,493,6,Saudi_Arabia,SA,SAU,33699947
15/04/2020,15,4,2020,435,8,Saudi_Arabia,SA,SAU,33699947
14/04/2020,14,4,2020,472,6,Saudi_Arabia,SA,SAU,33699947
13/04/2020,13,4,2020,429,7,Saudi_Arabia,SA,SAU,33699947
12/04/2020,12,4,2020,382,5,Saudi_Arabia,SA,SAU,33699947
11/04/2020,11,4,2020,364,3,Saudi_Arabia,SA,SAU,33699947
10/04/2020,10,4,2020,355,3,Saudi_Arabia,SA,SAU,33699947
09/04/2020,9,4,2020,137,0,Saudi_Arabia,SA,SAU,33699947
08/04/2020,8,4,2020,272,3,Saudi_Arabia,SA,SAU,33699947
07/04/2020,7,4,2020,138,4,Saudi_Arabia,SA,SAU,33699947
06/04/2020,6,4,2020,206,5,Saudi_Arabia,SA,SAU,33699947
05/04/2020,5,4,2020,294,8,Saudi_Arabia,SA,SAU,33699947
04/04/2020,4,4,2020,0,0,Saudi_Arabia,SA,SAU,33699947
03/04/2020,3,4,2020,165,5,Saudi_Arabia,SA,SAU,33699947
02/04/2020,2,4,2020,157,6,Saudi_Arabia,SA,SAU,33699947
01/04/2020,1,4,2020,110,2,Saudi_Arabia,SA,SAU,33699947
31/03/2020,31,3,2020,224,0,Saudi_Arabia,SA,SAU,33699947
30/03/2020,30,3,2020,26,4,Saudi_Arabia,SA,SAU,33699947
29/03/2020,29,3,2020,99,1,Saudi_Arabia,SA,SAU,33699947
28/03/2020,28,3,2020,92,0,Saudi_Arabia,SA,SAU,33699947
27/03/2020,27,3,2020,112,1,Saudi_Arabia,SA,SAU,33699947
26/03/2020,26,3,2020,133,1,Saudi_Arabia,SA,SAU,33699947
25/03/2020,25,3,2020,205,1,Saudi_Arabia,SA,SAU,33699947
24/03/2020,24,3,2020,51,0,Saudi_Arabia,SA,SAU,33699947
23/03/2020,23,3,2020,119,0,Saudi_Arabia,SA,SAU,33699947
22/03/2020,22,3,2020,118,0,Saudi_Arabia,SA,SAU,33699947
21/03/2020,21,3,2020,36,0,Saudi_Arabia,SA,SAU,33699947
20/03/2020,20,3,2020,67,0,Saudi_Arabia,SA,SAU,33699947
19/03/2020,19,3,2020,38,0,Saudi_Arabia,SA,SAU,33699947
18/03/2020,18,3,2020,0,0,Saudi_Arabia,SA,SAU,33699947
17/03/2020,17,3,2020,15,0,Saudi_Arabia,SA,SAU,33699947
16/03/2020,16,3,2020,32,0,Saudi_Arabia,SA,SAU,33699947
15/03/2020,15,3,2020,0,0,Saudi_Arabia,SA,SAU,33699947
14/03/2020,14,3,2020,24,0,Saudi_Arabia,SA,SAU,33699947
13/03/2020,13,3,2020,17,0,Saudi_Arabia,SA,SAU,33699947
12/03/2020,12,3,2020,25,0,Saudi_Arabia,SA,SAU,33699947
11/03/2020,11,3,2020,5,0,Saudi_Arabia,SA,SAU,33699947
10/03/2020,10,3,2020,4,0,Saudi_Arabia,SA,SAU,33699947
09/03/2020,9,3,2020,4,0,Saudi_Arabia,SA,SAU,33699947
08/03/2020,8,3,2020,2,0,Saudi_Arabia,SA,SAU,33699947
06/03/2020,6,3,2020,4,0,Saudi_Arabia,SA,SAU,33699947
03/03/2020,3,3,2020,1,0,Saudi_Arabia,SA,SAU,33699947
