countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
CYM,North America,Cayman Islands,2020-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2020-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
CYM,North America,Cayman Islands,2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4135,,66498,256,,,,49903,,,13,,,,,84,,,
