dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
16/04/2020,16,4,2020,5,0,Ghana,GH,GHA,29767108
15/04/2020,15,4,2020,70,0,Ghana,GH,GHA,29767108
14/04/2020,14,4,2020,0,0,Ghana,GH,GHA,29767108
13/04/2020,13,4,2020,158,0,Ghana,GH,GHA,29767108
12/04/2020,12,4,2020,30,2,Ghana,GH,GHA,29767108
11/04/2020,11,4,2020,0,0,Ghana,GH,GHA,29767108
10/04/2020,10,4,2020,65,0,Ghana,GH,GHA,29767108
09/04/2020,9,4,2020,26,1,Ghana,GH,GHA,29767108
08/04/2020,8,4,2020,0,0,Ghana,GH,GHA,29767108
07/04/2020,7,4,2020,73,0,Ghana,GH,GHA,29767108
06/04/2020,6,4,2020,0,0,Ghana,GH,GHA,29767108
05/04/2020,5,4,2020,9,0,Ghana,GH,GHA,29767108
04/04/2020,4,4,2020,1,0,Ghana,GH,GHA,29767108
03/04/2020,3,4,2020,9,0,Ghana,GH,GHA,29767108
02/04/2020,2,4,2020,43,0,Ghana,GH,GHA,29767108
01/04/2020,1,4,2020,0,0,Ghana,GH,GHA,29767108
31/03/2020,31,3,2020,0,0,Ghana,GH,GHA,29767108
30/03/2020,30,3,2020,11,0,Ghana,GH,GHA,29767108
29/03/2020,29,3,2020,4,2,Ghana,GH,GHA,29767108
28/03/2020,28,3,2020,5,0,Ghana,GH,GHA,29767108
27/03/2020,27,3,2020,64,0,Ghana,GH,GHA,29767108
26/03/2020,26,3,2020,15,1,Ghana,GH,GHA,29767108
25/03/2020,25,3,2020,26,0,Ghana,GH,GHA,29767108
24/03/2020,24,3,2020,3,1,Ghana,GH,GHA,29767108
23/03/2020,23,3,2020,3,0,Ghana,GH,GHA,29767108
22/03/2020,22,3,2020,5,1,Ghana,GH,GHA,29767108
21/03/2020,21,3,2020,5,0,Ghana,GH,GHA,29767108
20/03/2020,20,3,2020,4,0,Ghana,GH,GHA,29767108
19/03/2020,19,3,2020,1,0,Ghana,GH,GHA,29767108
18/03/2020,18,3,2020,0,0,Ghana,GH,GHA,29767108
17/03/2020,17,3,2020,4,0,Ghana,GH,GHA,29767108
16/03/2020,16,3,2020,0,0,Ghana,GH,GHA,29767108
15/03/2020,15,3,2020,0,0,Ghana,GH,GHA,29767108
13/03/2020,13,3,2020,2,0,Ghana,GH,GHA,29767108
