dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
19/04/2020,19,4,2020,2917,206,Brazil,BR,BRA,209469333
18/04/2020,18,4,2020,3257,217,Brazil,BR,BRA,209469333
17/04/2020,17,4,2020,2105,188,Brazil,BR,BRA,209469333
16/04/2020,16,4,2020,3058,204,Brazil,BR,BRA,209469333
15/04/2020,15,4,2020,1832,204,Brazil,BR,BRA,209469333
14/04/2020,14,4,2020,1261,105,Brazil,BR,BRA,209469333
13/04/2020,13,4,2020,1442,99,Brazil,BR,BRA,209469333
12/04/2020,12,4,2020,1089,68,Brazil,BR,BRA,209469333
11/04/2020,11,4,2020,1781,115,Brazil,BR,BRA,209469333
10/04/2020,10,4,2020,1930,141,Brazil,BR,BRA,209469333
09/04/2020,9,4,2020,2210,133,Brazil,BR,BRA,209469333
08/04/2020,8,4,2020,1661,114,Brazil,BR,BRA,209469333
07/04/2020,7,4,2020,926,67,Brazil,BR,BRA,209469333
06/04/2020,6,4,2020,852,54,Brazil,BR,BRA,209469333
05/04/2020,5,4,2020,1222,73,Brazil,BR,BRA,209469333
04/04/2020,4,4,2020,1146,60,Brazil,BR,BRA,209469333
03/04/2020,3,4,2020,1074,58,Brazil,BR,BRA,209469333
02/04/2020,2,4,2020,1119,40,Brazil,BR,BRA,209469333
01/04/2020,1,4,2020,1138,42,Brazil,BR,BRA,209469333
31/03/2020,31,3,2020,323,23,Brazil,BR,BRA,209469333
30/03/2020,30,3,2020,352,22,Brazil,BR,BRA,209469333
29/03/2020,29,3,2020,487,22,Brazil,BR,BRA,209469333
28/03/2020,28,3,2020,502,15,Brazil,BR,BRA,209469333
27/03/2020,27,3,2020,482,20,Brazil,BR,BRA,209469333
26/03/2020,26,3,2020,232,11,Brazil,BR,BRA,209469333
25/03/2020,25,3,2020,310,12,Brazil,BR,BRA,209469333
24/03/2020,24,3,2020,345,9,Brazil,BR,BRA,209469333
23/03/2020,23,3,2020,418,7,Brazil,BR,BRA,209469333
22/03/2020,22,3,2020,224,7,Brazil,BR,BRA,209469333
21/03/2020,21,3,2020,283,5,Brazil,BR,BRA,209469333
20/03/2020,20,3,2020,193,2,Brazil,BR,BRA,209469333
19/03/2020,19,3,2020,137,3,Brazil,BR,BRA,209469333
18/03/2020,18,3,2020,57,1,Brazil,BR,BRA,209469333
17/03/2020,17,3,2020,34,0,Brazil,BR,BRA,209469333
16/03/2020,16,3,2020,79,0,Brazil,BR,BRA,209469333
15/03/2020,15,3,2020,23,0,Brazil,BR,BRA,209469333
14/03/2020,14,3,2020,21,0,Brazil,BR,BRA,209469333
13/03/2020,13,3,2020,25,0,Brazil,BR,BRA,209469333
12/03/2020,12,3,2020,18,0,Brazil,BR,BRA,209469333
11/03/2020,11,3,2020,9,0,Brazil,BR,BRA,209469333
09/03/2020,9,3,2020,12,0,Brazil,BR,BRA,209469333
08/03/2020,8,3,2020,0,0,Brazil,BR,BRA,209469333
07/03/2020,7,3,2020,5,0,Brazil,BR,BRA,209469333
06/03/2020,6,3,2020,5,0,Brazil,BR,BRA,209469333
05/03/2020,5,3,2020,1,0,Brazil,BR,BRA,209469333
02/03/2020,2,3,2020,0,0,Brazil,BR,BRA,209469333
01/03/2020,1,3,2020,1,0,Brazil,BR,BRA,209469333
29/02/2020,29,2,2020,0,0,Brazil,BR,BRA,209469333
28/02/2020,28,2,2020,0,0,Brazil,BR,BRA,209469333
27/02/2020,27,2,2020,0,0,Brazil,BR,BRA,209469333
26/02/2020,26,2,2020,1,0,Brazil,BR,BRA,209469333
25/02/2020,25,2,2020,0,0,Brazil,BR,BRA,209469333
24/02/2020,24,2,2020,0,0,Brazil,BR,BRA,209469333
23/02/2020,23,2,2020,0,0,Brazil,BR,BRA,209469333
22/02/2020,22,2,2020,0,0,Brazil,BR,BRA,209469333
21/02/2020,21,2,2020,0,0,Brazil,BR,BRA,209469333
20/02/2020,20,2,2020,0,0,Brazil,BR,BRA,209469333
19/02/2020,19,2,2020,0,0,Brazil,BR,BRA,209469333
18/02/2020,18,2,2020,0,0,Brazil,BR,BRA,209469333
17/02/2020,17,2,2020,0,0,Brazil,BR,BRA,209469333
16/02/2020,16,2,2020,0,0,Brazil,BR,BRA,209469333
15/02/2020,15,2,2020,0,0,Brazil,BR,BRA,209469333
14/02/2020,14,2,2020,0,0,Brazil,BR,BRA,209469333
13/02/2020,13,2,2020,0,0,Brazil,BR,BRA,209469333
12/02/2020,12,2,2020,0,0,Brazil,BR,BRA,209469333
11/02/2020,11,2,2020,0,0,Brazil,BR,BRA,209469333
10/02/2020,10,2,2020,0,0,Brazil,BR,BRA,209469333
09/02/2020,9,2,2020,0,0,Brazil,BR,BRA,209469333
08/02/2020,8,2,2020,0,0,Brazil,BR,BRA,209469333
07/02/2020,7,2,2020,0,0,Brazil,BR,BRA,209469333
06/02/2020,6,2,2020,0,0,Brazil,BR,BRA,209469333
05/02/2020,5,2,2020,0,0,Brazil,BR,BRA,209469333
04/02/2020,4,2,2020,0,0,Brazil,BR,BRA,209469333
03/02/2020,3,2,2020,0,0,Brazil,BR,BRA,209469333
02/02/2020,2,2,2020,0,0,Brazil,BR,BRA,209469333
01/02/2020,1,2,2020,0,0,Brazil,BR,BRA,209469333
31/01/2020,31,1,2020,0,0,Brazil,BR,BRA,209469333
30/01/2020,30,1,2020,0,0,Brazil,BR,BRA,209469333
29/01/2020,29,1,2020,0,0,Brazil,BR,BRA,209469333
28/01/2020,28,1,2020,0,0,Brazil,BR,BRA,209469333
27/01/2020,27,1,2020,0,0,Brazil,BR,BRA,209469333
26/01/2020,26,1,2020,0,0,Brazil,BR,BRA,209469333
25/01/2020,25,1,2020,0,0,Brazil,BR,BRA,209469333
24/01/2020,24,1,2020,0,0,Brazil,BR,BRA,209469333
23/01/2020,23,1,2020,0,0,Brazil,BR,BRA,209469333
22/01/2020,22,1,2020,0,0,Brazil,BR,BRA,209469333
21/01/2020,21,1,2020,0,0,Brazil,BR,BRA,209469333
20/01/2020,20,1,2020,0,0,Brazil,BR,BRA,209469333
19/01/2020,19,1,2020,0,0,Brazil,BR,BRA,209469333
18/01/2020,18,1,2020,0,0,Brazil,BR,BRA,209469333
17/01/2020,17,1,2020,0,0,Brazil,BR,BRA,209469333
16/01/2020,16,1,2020,0,0,Brazil,BR,BRA,209469333
15/01/2020,15,1,2020,0,0,Brazil,BR,BRA,209469333
14/01/2020,14,1,2020,0,0,Brazil,BR,BRA,209469333
13/01/2020,13,1,2020,0,0,Brazil,BR,BRA,209469333
12/01/2020,12,1,2020,0,0,Brazil,BR,BRA,209469333
11/01/2020,11,1,2020,0,0,Brazil,BR,BRA,209469333
10/01/2020,10,1,2020,0,0,Brazil,BR,BRA,209469333
09/01/2020,9,1,2020,0,0,Brazil,BR,BRA,209469333
08/01/2020,8,1,2020,0,0,Brazil,BR,BRA,209469333
07/01/2020,7,1,2020,0,0,Brazil,BR,BRA,209469333
06/01/2020,6,1,2020,0,0,Brazil,BR,BRA,209469333
05/01/2020,5,1,2020,0,0,Brazil,BR,BRA,209469333
04/01/2020,4,1,2020,0,0,Brazil,BR,BRA,209469333
03/01/2020,3,1,2020,0,0,Brazil,BR,BRA,209469333
02/01/2020,2,1,2020,0,0,Brazil,BR,BRA,209469333
01/01/2020,1,1,2020,0,0,Brazil,BR,BRA,209469333
31/12/2019,31,12,2019,0,0,Brazil,BR,BRA,209469333
