countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
WLF,Oceania,Wallis and Futuna,2020-10-19,1,1,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-20,1,0,,,,,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-21,1,0,,,,,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-22,1,0,,,,,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-23,1,0,,,,,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-24,1,0,0,,,,90,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-25,1,0,0,,,,90,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-26,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-27,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-28,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-29,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-30,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-10-31,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-11-01,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-11-02,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
WLF,Oceania,Wallis and Futuna,2020-11-03,1,0,0,,,,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,80,,,,,
