countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
PER,South America,Peru,2020-01-13,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-19,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,,,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-20,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,0,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-22,,,,,,,,,,,,,,,,,,,,,,1,5,0,0,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-23,,,,,,,,,,,,,,,,,,,,,,1,6,0,0,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-27,,,,,,,,,,,,,,,,,,,,,,4,10,0,0,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-29,,,,,,,,,,,,,,,,,,,,,,2,12,0,0,1,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-30,,,,,,,,,,,,,,,,,,,,,,1,13,0,0,1,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-01-31,,,,,,,,,,,,,,,,,,,,,,3,16,0,0,1,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-01,,,,,,,,,,,,,,,,,,,,,,3,19,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-02,,,,,,,,,,,,,,,,,,,,,,2,21,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-03,,,,,,,,,,,,,,,,,,,,,,2,23,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-04,,,,,,,,,,,,,,,,,,,,,,1,24,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-05,,,,,,,,,,,,,,,,,,,,,,1,25,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-06,,,,,,,,,,,,,,,,,,,,,,2,27,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-07,,,,,,,,,,,,,,,,,,,,,,3,30,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-09,,,,,,,,,,,,,,,,,,,,,,3,33,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-10,,,,,,,,,,,,,,,,,,,,,,3,36,0,0,2,0,0,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
PER,South America,Peru,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,tests performed,,,,,,,,,,0,32971846,25,29,7,4,12237,4,86,6,5,,,2,77,1
