countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
JEY,Europe,Jersey,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11385,8334,3051,,,11,8,3,,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14838,11707,3131,,493,15,12,3,4878,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,,,5432,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,,,5976,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,6530,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,,7074,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,,,,7618,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,,,,8172,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21007,17829,3178,,881,21,18,3,8716,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,,,,8469,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,,,,8222,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,,,,7974,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,,,,7727,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,,,,7480,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,7232,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25952,22696,3256,,706,26,22,3,6985,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,,,,6668,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,,,,6352,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,,,6025,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,,,,5709,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,,,,5392,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,5066,,101073,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29312,26025,3287,,480,29,26,3,4749,,101073,,,,,,,,,,,,,,
