dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
19/04/2020,19,4,2020,0,0,Libya,LY,LBY,6678567
18/04/2020,18,4,2020,0,0,Libya,LY,LBY,6678567
17/04/2020,17,4,2020,1,0,Libya,LY,LBY,6678567
16/04/2020,16,4,2020,13,0,Libya,LY,LBY,6678567
15/04/2020,15,4,2020,9,0,Libya,LY,LBY,6678567
14/04/2020,14,4,2020,1,0,Libya,LY,LBY,6678567
13/04/2020,13,4,2020,0,0,Libya,LY,LBY,6678567
12/04/2020,12,4,2020,1,0,Libya,LY,LBY,6678567
11/04/2020,11,4,2020,0,0,Libya,LY,LBY,6678567
10/04/2020,10,4,2020,3,0,Libya,LY,LBY,6678567
09/04/2020,9,4,2020,2,0,Libya,LY,LBY,6678567
08/04/2020,8,4,2020,1,0,Libya,LY,LBY,6678567
07/04/2020,7,4,2020,0,0,Libya,LY,LBY,6678567
06/04/2020,6,4,2020,0,0,Libya,LY,LBY,6678567
05/04/2020,5,4,2020,7,0,Libya,LY,LBY,6678567
04/04/2020,4,4,2020,0,0,Libya,LY,LBY,6678567
03/04/2020,3,4,2020,1,1,Libya,LY,LBY,6678567
02/04/2020,2,4,2020,0,0,Libya,LY,LBY,6678567
01/04/2020,1,4,2020,2,0,Libya,LY,LBY,6678567
31/03/2020,31,3,2020,0,0,Libya,LY,LBY,6678567
30/03/2020,30,3,2020,7,0,Libya,LY,LBY,6678567
29/03/2020,29,3,2020,0,0,Libya,LY,LBY,6678567
28/03/2020,28,3,2020,0,0,Libya,LY,LBY,6678567
27/03/2020,27,3,2020,0,0,Libya,LY,LBY,6678567
26/03/2020,26,3,2020,0,0,Libya,LY,LBY,6678567
25/03/2020,25,3,2020,1,0,Libya,LY,LBY,6678567
