dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
06/04/2020,6,4,2020,95,0,Cameroon,CM,CMR,25216237
05/04/2020,5,4,2020,46,1,Cameroon,CM,CMR,25216237
04/04/2020,4,4,2020,238,1,Cameroon,CM,CMR,25216237
03/04/2020,3,4,2020,38,1,Cameroon,CM,CMR,25216237
02/04/2020,2,4,2020,40,0,Cameroon,CM,CMR,25216237
01/04/2020,1,4,2020,51,4,Cameroon,CM,CMR,25216237
31/03/2020,31,3,2020,43,0,Cameroon,CM,CMR,25216237
30/03/2020,30,3,2020,0,0,Cameroon,CM,CMR,25216237
29/03/2020,29,3,2020,11,1,Cameroon,CM,CMR,25216237
28/03/2020,28,3,2020,0,0,Cameroon,CM,CMR,25216237
27/03/2020,27,3,2020,16,0,Cameroon,CM,CMR,25216237
26/03/2020,26,3,2020,0,0,Cameroon,CM,CMR,25216237
25/03/2020,25,3,2020,16,1,Cameroon,CM,CMR,25216237
24/03/2020,24,3,2020,29,0,Cameroon,CM,CMR,25216237
23/03/2020,23,3,2020,0,0,Cameroon,CM,CMR,25216237
22/03/2020,22,3,2020,0,0,Cameroon,CM,CMR,25216237
21/03/2020,21,3,2020,13,0,Cameroon,CM,CMR,25216237
20/03/2020,20,3,2020,4,0,Cameroon,CM,CMR,25216237
19/03/2020,19,3,2020,0,0,Cameroon,CM,CMR,25216237
18/03/2020,18,3,2020,6,0,Cameroon,CM,CMR,25216237
17/03/2020,17,3,2020,0,0,Cameroon,CM,CMR,25216237
16/03/2020,16,3,2020,1,0,Cameroon,CM,CMR,25216237
15/03/2020,15,3,2020,1,0,Cameroon,CM,CMR,25216237
09/03/2020,9,3,2020,1,0,Cameroon,CM,CMR,25216237
07/03/2020,7,3,2020,1,0,Cameroon,CM,CMR,25216237
