date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-Y,Pastaza,,province,39,2
2020-04-27,EC-Y,Pastaza,,province,39,2
2020-04-28,EC-Y,Pastaza,,province,39,2
2020-04-29,EC-Y,Pastaza,,province,44,3
2020-04-30,EC-Y,Pastaza,,province,44,3
2020-05-01,EC-Y,Pastaza,,province,50,3
2020-05-02,EC-Y,Pastaza,,province,52,3
2020-05-03,EC-Y,Pastaza,,province,64,3
2020-05-04,EC-Y,Pastaza,,province,64,3
2020-05-05,EC-Y,Pastaza,,province,64,3
2020-05-06,EC-Y,Pastaza,,province,64,3
2020-05-07,EC-Y,Pastaza,,province,80,3
2020-05-08,EC-Y,Pastaza,,province,80,3
2020-05-09,EC-Y,Pastaza,,province,80,3
2020-05-10,EC-Y,Pastaza,,province,80,3
2020-05-11,EC-Y,Pastaza,,province,87,4
2020-05-12,EC-Y,Pastaza,,province,114,5
2020-05-13,EC-Y,Pastaza,,province,114,5
2020-05-14,EC-Y,Pastaza,,province,114,5
2020-05-15,EC-Y,Pastaza,,province,114,5
2020-05-16,EC-Y,Pastaza,,province,127,5
2020-05-17,EC-Y,Pastaza,,province,127,5
2020-05-18,EC-Y,Pastaza,,province,127,5
2020-05-19,EC-Y,Pastaza,,province,136,5
2020-05-20,EC-Y,Pastaza,,province,136,5
2020-05-21,EC-Y,Pastaza,,province,167,5
2020-05-22,EC-Y,Pastaza,,province,184,5
2020-05-23,EC-Y,Pastaza,,province,184,5
2020-05-24,EC-Y,Pastaza,,province,184,5
2020-05-25,EC-Y,Pastaza,,province,195,5
2020-05-26,EC-Y,Pastaza,,province,195,5
2020-05-27,EC-Y,Pastaza,,province,195,5
2020-05-28,EC-Y,Pastaza,,province,195,5
2020-05-29,EC-Y,Pastaza,,province,228,5
2020-05-30,EC-Y,Pastaza,,province,228,5
2020-05-31,EC-Y,Pastaza,,province,228,5
2020-06-01,EC-Y,Pastaza,,province,228,5
2020-06-02,EC-Y,Pastaza,,province,228,5
2020-06-03,EC-Y,Pastaza,,province,304,5
2020-06-04,EC-Y,Pastaza,,province,304,5
2020-06-05,EC-Y,Pastaza,,province,304,5
2020-06-06,EC-Y,Pastaza,,province,304,5
2020-06-07,EC-Y,Pastaza,,province,304,5
2020-06-08,EC-Y,Pastaza,,province,304,5
2020-06-09,EC-Y,Pastaza,,province,304,5
2020-06-10,EC-Y,Pastaza,,province,304,5
2020-06-11,EC-Y,Pastaza,,province,357,7
2020-06-12,EC-Y,Pastaza,,province,357,7
2020-06-13,EC-Y,Pastaza,,province,357,7
2020-06-14,EC-Y,Pastaza,,province,357,7
2020-06-15,EC-Y,Pastaza,,province,357,7
2020-06-16,EC-Y,Pastaza,,province,357,7
2020-06-17,EC-Y,Pastaza,,province,357,7
2020-06-18,EC-Y,Pastaza,,province,357,7
2020-06-19,EC-Y,Pastaza,,province,357,7
2020-06-20,EC-Y,Pastaza,,province,357,7
2020-06-21,EC-Y,Pastaza,,province,357,7
2020-06-22,EC-Y,Pastaza,,province,357,7
2020-06-23,EC-Y,Pastaza,,province,357,7
2020-06-24,EC-Y,Pastaza,,province,357,7
2020-06-25,EC-Y,Pastaza,,province,357,7
2020-06-26,EC-Y,Pastaza,,province,357,7
2020-06-27,EC-Y,Pastaza,,province,357,7
2020-06-28,EC-Y,Pastaza,,province,357,7
2020-06-29,EC-Y,Pastaza,,province,357,7
2020-06-30,EC-Y,Pastaza,,province,357,7
2020-07-01,EC-Y,Pastaza,,province,705,22
2020-07-02,EC-Y,Pastaza,,province,705,22
2020-07-03,EC-Y,Pastaza,,province,792,22
2020-07-04,EC-Y,Pastaza,,province,792,22
2020-07-05,EC-Y,Pastaza,,province,792,22
2020-07-06,EC-Y,Pastaza,,province,792,22
2020-07-07,EC-Y,Pastaza,,province,792,22
2020-07-08,EC-Y,Pastaza,,province,792,22
2020-07-09,EC-Y,Pastaza,,province,792,22
2020-07-10,EC-Y,Pastaza,,province,792,22
2020-07-11,EC-Y,Pastaza,,province,792,22
2020-07-12,EC-Y,Pastaza,,province,792,22
2020-07-13,EC-Y,Pastaza,,province,962,34
2020-07-14,EC-Y,Pastaza,,province,962,34
2020-07-15,EC-Y,Pastaza,,province,1012,34
2020-07-16,EC-Y,Pastaza,,province,1012,34
2020-07-17,EC-Y,Pastaza,,province,1012,34
2020-07-18,EC-Y,Pastaza,,province,1012,34
2020-07-19,EC-Y,Pastaza,,province,1012,34
2020-07-20,EC-Y,Pastaza,,province,1121,36
2020-07-21,EC-Y,Pastaza,,province,1168,36
2020-07-22,EC-Y,Pastaza,,province,1212,39
2020-07-23,EC-Y,Pastaza,,province,1274,39
2020-07-24,EC-Y,Pastaza,,province,1274,39
2020-07-25,EC-Y,Pastaza,,province,1295,39
2020-07-26,EC-Y,Pastaza,,province,1295,39
2020-07-27,EC-Y,Pastaza,,province,1326,40
2020-07-28,EC-Y,Pastaza,,province,1326,40
2020-07-29,EC-Y,Pastaza,,province,1342,40
2020-07-30,EC-Y,Pastaza,,province,1342,40
2020-07-31,EC-Y,Pastaza,,province,1349,43
2020-08-01,EC-Y,Pastaza,,province,1376,44
2020-08-02,EC-Y,Pastaza,,province,1376,44
