date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-O,El Oro,,province,477,57
2020-04-27,EC-O,El Oro,,province,477,57
2020-04-28,EC-O,El Oro,,province,477,57
2020-04-29,EC-O,El Oro,,province,457,79
2020-04-30,EC-O,El Oro,,province,457,79
2020-05-01,EC-O,El Oro,,province,559,83
2020-05-02,EC-O,El Oro,,province,575,103
2020-05-03,EC-O,El Oro,,province,624,106
2020-05-04,EC-O,El Oro,,province,624,106
2020-05-05,EC-O,El Oro,,province,624,106
2020-05-06,EC-O,El Oro,,province,624,106
2020-05-07,EC-O,El Oro,,province,673,110
2020-05-08,EC-O,El Oro,,province,673,110
2020-05-09,EC-O,El Oro,,province,673,110
2020-05-10,EC-O,El Oro,,province,673,110
2020-05-11,EC-O,El Oro,,province,664,114
2020-05-12,EC-O,El Oro,,province,707,126
2020-05-13,EC-O,El Oro,,province,707,126
2020-05-14,EC-O,El Oro,,province,707,126
2020-05-15,EC-O,El Oro,,province,707,126
2020-05-16,EC-O,El Oro,,province,907,145
2020-05-17,EC-O,El Oro,,province,907,145
2020-05-18,EC-O,El Oro,,province,907,145
2020-05-19,EC-O,El Oro,,province,959,147
2020-05-20,EC-O,El Oro,,province,959,147
2020-05-21,EC-O,El Oro,,province,976,151
2020-05-22,EC-O,El Oro,,province,1004,162
2020-05-23,EC-O,El Oro,,province,1004,162
2020-05-24,EC-O,El Oro,,province,1004,162
2020-05-25,EC-O,El Oro,,province,1025,164
2020-05-26,EC-O,El Oro,,province,1025,164
2020-05-27,EC-O,El Oro,,province,1025,164
2020-05-28,EC-O,El Oro,,province,1025,164
2020-05-29,EC-O,El Oro,,province,1066,181
2020-05-30,EC-O,El Oro,,province,1066,181
2020-05-31,EC-O,El Oro,,province,1066,181
2020-06-01,EC-O,El Oro,,province,1066,181
2020-06-02,EC-O,El Oro,,province,1066,181
2020-06-03,EC-O,El Oro,,province,1213,192
2020-06-04,EC-O,El Oro,,province,1213,192
2020-06-05,EC-O,El Oro,,province,1213,192
2020-06-06,EC-O,El Oro,,province,1213,192
2020-06-07,EC-O,El Oro,,province,1213,192
2020-06-08,EC-O,El Oro,,province,1213,192
2020-06-09,EC-O,El Oro,,province,1213,192
2020-06-10,EC-O,El Oro,,province,1213,192
2020-06-11,EC-O,El Oro,,province,1347,199
2020-06-12,EC-O,El Oro,,province,1347,199
2020-06-13,EC-O,El Oro,,province,1347,199
2020-06-14,EC-O,El Oro,,province,1347,199
2020-06-15,EC-O,El Oro,,province,1347,199
2020-06-16,EC-O,El Oro,,province,1347,199
2020-06-17,EC-O,El Oro,,province,1347,199
2020-06-18,EC-O,El Oro,,province,1347,199
2020-06-19,EC-O,El Oro,,province,1347,199
2020-06-20,EC-O,El Oro,,province,1347,199
2020-06-21,EC-O,El Oro,,province,1347,199
2020-06-22,EC-O,El Oro,,province,1347,199
2020-06-23,EC-O,El Oro,,province,1347,199
2020-06-24,EC-O,El Oro,,province,1347,199
2020-06-25,EC-O,El Oro,,province,1347,199
2020-06-26,EC-O,El Oro,,province,1347,199
2020-06-27,EC-O,El Oro,,province,1347,199
2020-06-28,EC-O,El Oro,,province,1347,199
2020-06-29,EC-O,El Oro,,province,1347,199
2020-06-30,EC-O,El Oro,,province,1347,199
2020-07-01,EC-O,El Oro,,province,2042,251
2020-07-02,EC-O,El Oro,,province,2042,251
2020-07-03,EC-O,El Oro,,province,2135,268
2020-07-04,EC-O,El Oro,,province,2135,268
2020-07-05,EC-O,El Oro,,province,2135,268
2020-07-06,EC-O,El Oro,,province,2135,268
2020-07-07,EC-O,El Oro,,province,2135,268
2020-07-08,EC-O,El Oro,,province,2135,268
2020-07-09,EC-O,El Oro,,province,2135,268
2020-07-10,EC-O,El Oro,,province,2135,268
2020-07-11,EC-O,El Oro,,province,2135,268
2020-07-12,EC-O,El Oro,,province,2135,268
2020-07-13,EC-O,El Oro,,province,2406,305
2020-07-14,EC-O,El Oro,,province,2406,305
2020-07-15,EC-O,El Oro,,province,2432,308
2020-07-16,EC-O,El Oro,,province,2432,308
2020-07-17,EC-O,El Oro,,province,2432,308
2020-07-18,EC-O,El Oro,,province,2432,308
2020-07-19,EC-O,El Oro,,province,2432,308
2020-07-20,EC-O,El Oro,,province,2632,312
2020-07-21,EC-O,El Oro,,province,2739,318
2020-07-22,EC-O,El Oro,,province,2745,319
2020-07-23,EC-O,El Oro,,province,2758,320
2020-07-24,EC-O,El Oro,,province,2758,320
2020-07-25,EC-O,El Oro,,province,2764,320
2020-07-26,EC-O,El Oro,,province,2764,320
2020-07-27,EC-O,El Oro,,province,2922,325
2020-07-28,EC-O,El Oro,,province,2922,325
2020-07-29,EC-O,El Oro,,province,3001,331
2020-07-30,EC-O,El Oro,,province,3001,331
2020-07-31,EC-O,El Oro,,province,3118,333
2020-08-01,EC-O,El Oro,,province,3181,334
2020-08-02,EC-O,El Oro,,province,3181,334
2020-08-03,EC-O,El Oro,,province,3181,334
2020-08-04,EC-O,El Oro,,province,3181,334
2020-08-05,EC-O,El Oro,,province,3181,334
2020-08-06,EC-O,El Oro,,province,3181,334
2020-08-07,EC-O,El Oro,,province,3181,334
2020-08-08,EC-O,El Oro,,province,3181,334
2020-08-09,EC-O,El Oro,,province,3181,334
2020-08-10,EC-O,El Oro,,province,3181,334
2020-08-11,EC-O,El Oro,,province,3666,342
2020-08-12,EC-O,El Oro,,province,3666,342
2020-08-13,EC-O,El Oro,,province,3666,342
2020-08-14,EC-O,El Oro,,province,3666,342
2020-08-15,EC-O,El Oro,,province,3666,342
2020-08-16,EC-O,El Oro,,province,3666,342
2020-08-17,EC-O,El Oro,,province,3666,342
2020-08-18,EC-O,El Oro,,province,3666,342
2020-08-19,EC-O,El Oro,,province,3666,342
2020-08-20,EC-O,El Oro,,province,3666,342
2020-08-21,EC-O,El Oro,,province,3666,342
2020-08-22,EC-O,El Oro,,province,3666,342
2020-08-23,EC-O,El Oro,,province,3666,342
2020-08-24,EC-O,El Oro,,province,3666,342
2020-08-25,EC-O,El Oro,,province,3666,342
2020-08-26,EC-O,El Oro,,province,4234,360
2020-08-27,EC-O,El Oro,,province,4234,360
2020-08-28,EC-O,El Oro,,province,4234,360
2020-08-29,EC-O,El Oro,,province,4234,360
2020-08-30,EC-O,El Oro,,province,4234,360
2020-08-31,EC-O,El Oro,,province,4234,360
