date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-M,Manabí,,province,1869,44
2020-04-27,EC-M,Manabí,,province,1869,44
2020-04-28,EC-M,Manabí,,province,1869,44
2020-04-29,EC-M,Manabí,,province,601,101
2020-04-30,EC-M,Manabí,,province,601,101
2020-05-01,EC-M,Manabí,,province,633,111
2020-05-02,EC-M,Manabí,,province,799,125
2020-05-03,EC-M,Manabí,,province,934,206
2020-05-04,EC-M,Manabí,,province,934,206
2020-05-05,EC-M,Manabí,,province,934,206
2020-05-06,EC-M,Manabí,,province,934,206
2020-05-07,EC-M,Manabí,,province,1263,219
2020-05-08,EC-M,Manabí,,province,1263,219
2020-05-09,EC-M,Manabí,,province,1263,219
2020-05-10,EC-M,Manabí,,province,1263,219
2020-05-11,EC-M,Manabí,,province,1226,257
2020-05-12,EC-M,Manabí,,province,1277,275
2020-05-13,EC-M,Manabí,,province,1277,275
2020-05-14,EC-M,Manabí,,province,1277,275
2020-05-15,EC-M,Manabí,,province,1277,275
2020-05-16,EC-M,Manabí,,province,1468,328
2020-05-17,EC-M,Manabí,,province,1468,328
2020-05-18,EC-M,Manabí,,province,1468,328
2020-05-19,EC-M,Manabí,,province,1638,346
2020-05-20,EC-M,Manabí,,province,1638,346
2020-05-21,EC-M,Manabí,,province,1736,350
2020-05-22,EC-M,Manabí,,province,1814,363
2020-05-23,EC-M,Manabí,,province,1814,363
2020-05-24,EC-M,Manabí,,province,1814,363
2020-05-25,EC-M,Manabí,,province,1895,375
2020-05-26,EC-M,Manabí,,province,1895,375
2020-05-27,EC-M,Manabí,,province,1895,375
2020-05-28,EC-M,Manabí,,province,1895,375
2020-05-29,EC-M,Manabí,,province,2199,428
2020-05-30,EC-M,Manabí,,province,2199,428
2020-05-31,EC-M,Manabí,,province,2199,428
2020-06-01,EC-M,Manabí,,province,2199,428
2020-06-02,EC-M,Manabí,,province,2199,428
2020-06-03,EC-M,Manabí,,province,2516,456
2020-06-04,EC-M,Manabí,,province,2516,456
2020-06-05,EC-M,Manabí,,province,2516,456
2020-06-06,EC-M,Manabí,,province,2516,456
2020-06-07,EC-M,Manabí,,province,2516,456
2020-06-08,EC-M,Manabí,,province,2516,456
2020-06-09,EC-M,Manabí,,province,2516,456
2020-06-10,EC-M,Manabí,,province,2516,456
2020-06-11,EC-M,Manabí,,province,2990,502
2020-06-12,EC-M,Manabí,,province,2990,502
2020-06-13,EC-M,Manabí,,province,2990,502
2020-06-14,EC-M,Manabí,,province,2990,502
2020-06-15,EC-M,Manabí,,province,2990,502
2020-06-16,EC-M,Manabí,,province,2990,502
2020-06-17,EC-M,Manabí,,province,2990,502
2020-06-18,EC-M,Manabí,,province,2990,502
2020-06-19,EC-M,Manabí,,province,2990,502
2020-06-20,EC-M,Manabí,,province,2990,502
2020-06-21,EC-M,Manabí,,province,2990,502
2020-06-22,EC-M,Manabí,,province,2990,502
2020-06-23,EC-M,Manabí,,province,2990,502
2020-06-24,EC-M,Manabí,,province,2990,502
2020-06-25,EC-M,Manabí,,province,2990,502
2020-06-26,EC-M,Manabí,,province,2990,502
2020-06-27,EC-M,Manabí,,province,2990,502
2020-06-28,EC-M,Manabí,,province,2990,502
2020-06-29,EC-M,Manabí,,province,2990,502
