date,region_iso,region,province,city,place_type,cases,deaths,recovered
2020-03-03,CT,Chubut,,,provincia,0,0,0
2020-03-04,CT,Chubut,,,provincia,0,0,0
2020-03-05,CT,Chubut,,,provincia,0,0,0
2020-03-06,CT,Chubut,,,provincia,0,0,0
2020-03-07,CT,Chubut,,,provincia,0,0,0
2020-03-08,CT,Chubut,,,provincia,0,0,0
2020-03-09,CT,Chubut,,,provincia,0,0,0
2020-03-10,CT,Chubut,,,provincia,0,0,0
2020-03-11,CT,Chubut,,,provincia,0,0,0
2020-03-12,CT,Chubut,,,provincia,0,0,0
2020-03-13,CT,Chubut,,,provincia,0,0,0
2020-03-14,CT,Chubut,,,provincia,0,0,0
2020-03-15,CT,Chubut,,,provincia,0,0,0
2020-03-16,CT,Chubut,,,provincia,0,0,0
2020-03-17,CT,Chubut,,,provincia,0,0,0
2020-03-18,CT,Chubut,,,provincia,0,0,0
2020-03-19,CT,Chubut,,,provincia,0,0,0
2020-03-20,CT,Chubut,,,provincia,0,0,0
2020-03-21,CT,Chubut,,,provincia,0,0,0
2020-03-22,CT,Chubut,,,provincia,0,0,0
2020-03-23,CT,Chubut,,,provincia,0,0,0
2020-03-24,CT,Chubut,,,provincia,0,0,0
2020-03-25,CT,Chubut,,,provincia,0,0,0
2020-03-26,CT,Chubut,,,provincia,0,0,0
2020-03-27,CT,Chubut,,,provincia,0,0,0
2020-03-28,CT,Chubut,,,provincia,0,0,0
2020-03-29,CT,Chubut,,,provincia,0,0,0
2020-03-30,CT,Chubut,,,provincia,0,0,0
2020-03-31,CT,Chubut,,,provincia,0,0,0
2020-04-01,CT,Chubut,,,provincia,0,0,0
2020-04-02,CT,Chubut,,,provincia,0,0,0
2020-04-03,CT,Chubut,,,provincia,0,0,0
2020-04-04,CT,Chubut,,,provincia,0,0,0
2020-04-05,CT,Chubut,,,provincia,0,0,0
2020-04-06,CT,Chubut,,,provincia,0,0,0
2020-04-07,CT,Chubut,,,provincia,0,0,0
2020-04-08,CT,Chubut,,,provincia,0,0,0
2020-04-09,CT,Chubut,,,provincia,0,0,0
2020-04-10,CT,Chubut,,,provincia,0,0,0
2020-04-11,CT,Chubut,,,provincia,0,0,0
2020-04-12,CT,Chubut,,,provincia,0,0,0
2020-04-14,CT,Chubut,,,provincia,1,0,0
2020-04-16,CT,Chubut,,,provincia,1,0,0
2020-04-18,CT,Chubut,,,provincia,2,0,0
2020-04-22,CT,Chubut,,,provincia,2,0,0
2020-05-03,CT,Chubut,,,provincia,4,0,0
2020-05-07,CT,Chubut,,,provincia,4,0,0
2020-05-09,CT,Chubut,,,provincia,4,0,0
2020-05-11,CT,Chubut,,,provincia,4,0,0
2020-05-15,CT,Chubut,,,provincia,4,0,0
2020-05-19,CT,Chubut,,,provincia,4,0,0
2020-05-25,CT,Chubut,,,provincia,4,0,0
2020-05-26,CT,Chubut,,,provincia,5,0,0
2020-05-28,CT,Chubut,,,provincia,8,0,0
2020-05-30,CT,Chubut,,,provincia,10,0,0
2020-06-03,CT,Chubut,,,provincia,11,0,0
2020-06-05,CT,Chubut,,,provincia,14,0,0
2020-06-06,CT,Chubut,,,provincia,15,0,0
2020-06-07,CT,Chubut,,,provincia,20,0,0
2020-06-08,CT,Chubut,,,provincia,21,0,0
2020-06-09,CT,Chubut,,,provincia,26,0,0
2020-06-10,CT,Chubut,,,provincia,26,0,0
2020-06-11,CT,Chubut,,,provincia,26,1,0
2020-06-12,CT,Chubut,,,provincia,30,1,0
2020-06-13,CT,Chubut,,,provincia,39,1,0
2020-06-14,CT,Chubut,,,provincia,41,1,0
2020-06-15,CT,Chubut,,,provincia,63,1,0
2020-06-16,CT,Chubut,,,provincia,64,1,0
2020-06-17,CT,Chubut,,,provincia,72,1,0
2020-06-18,CT,Chubut,,,provincia,82,1,0
2020-06-19,CT,Chubut,,,provincia,85,1,0
2020-06-20,CT,Chubut,,,provincia,88,1,0
2020-06-21,CT,Chubut,,,provincia,94,1,0
2020-06-22,CT,Chubut,,,provincia,99,1,0
2020-06-23,CT,Chubut,,,provincia,101,1,0
2020-06-24,CT,Chubut,,,provincia,103,1,0
2020-06-25,CT,Chubut,,,provincia,104,1,0
2020-06-26,CT,Chubut,,,provincia,114,1,0
2020-06-27,CT,Chubut,,,provincia,114,1,0
2020-06-28,CT,Chubut,,,provincia,119,1,0
2020-06-29,CT,Chubut,,,provincia,120,1,0
2020-06-30,CT,Chubut,,,provincia,128,1,0
2020-07-01,CT,Chubut,,,provincia,136,1,0
2020-07-02,CT,Chubut,,,provincia,136,1,0
2020-07-03,CT,Chubut,,,provincia,148,1,0
2020-07-04,CT,Chubut,,,provincia,148,1,0
2020-07-05,CT,Chubut,,,provincia,154,1,0
2020-07-06,CT,Chubut,,,provincia,160,1,0
2020-07-07,CT,Chubut,,,provincia,160,1,0
2020-07-08,CT,Chubut,,,provincia,173,1,0
2020-07-09,CT,Chubut,,,provincia,192,1,0
2020-07-10,CT,Chubut,,,provincia,196,2,0
2020-07-11,CT,Chubut,,,provincia,205,2,0
2020-07-12,CT,Chubut,,,provincia,206,2,0
2020-07-13,CT,Chubut,,,provincia,211,2,0
2020-07-14,CT,Chubut,,,provincia,213,2,0
2020-07-15,CT,Chubut,,,provincia,218,2,0
2020-07-16,CT,Chubut,,,provincia,218,2,0
2020-07-17,CT,Chubut,,,provincia,227,2,0
2020-07-18,CT,Chubut,,,provincia,235,2,0
2020-07-19,CT,Chubut,,,provincia,238,2,0
2020-07-20,CT,Chubut,,,provincia,242,2,0
2020-07-21,CT,Chubut,,,provincia,254,2,0
2020-07-22,CT,Chubut,,,provincia,253,2,0
2020-07-23,CT,Chubut,,,provincia,254,2,0
2020-07-24,CT,Chubut,,,provincia,260,2,0
2020-07-25,CT,Chubut,,,provincia,262,2,0
2020-07-26,CT,Chubut,,,provincia,264,2,0
2020-07-27,CT,Chubut,,,provincia,263,2,0
2020-07-28,CT,Chubut,,,provincia,266,2,0
2020-07-29,CT,Chubut,,,provincia,269,2,0
2020-07-30,CT,Chubut,,,provincia,274,2,0
2020-07-31,CT,Chubut,,,provincia,275,3,0
2020-08-01,CT,Chubut,,,provincia,285,3,0
2020-08-02,CT,Chubut,,,provincia,287,3,0
2020-08-03,CT,Chubut,,,provincia,292,3,0
2020-08-04,CT,Chubut,,,provincia,293,3,0
2020-08-05,CT,Chubut,,,provincia,302,3,0
2020-08-06,CT,Chubut,,,provincia,309,3,0
2020-08-07,CT,Chubut,,,provincia,311,3,0
2020-08-08,CT,Chubut,,,provincia,327,3,0
2020-08-09,CT,Chubut,,,provincia,348,3,0
2020-08-10,CT,Chubut,,,provincia,350,3,0
2020-08-11,CT,Chubut,,,provincia,356,3,0
2020-08-12,CT,Chubut,,,provincia,366,4,0
2020-08-13,CT,Chubut,,,provincia,384,4,0
2020-08-14,CT,Chubut,,,provincia,390,4,0
2020-08-15,CT,Chubut,,,provincia,394,4,0
2020-08-16,CT,Chubut,,,provincia,403,4,0
2020-08-17,CT,Chubut,,,provincia,417,4,0
2020-08-18,CT,Chubut,,,provincia,424,4,0
2020-08-19,CT,Chubut,,,provincia,437,4,0
2020-08-20,CT,Chubut,,,provincia,455,6,0
2020-08-21,CT,Chubut,,,provincia,474,6,0
2020-08-22,CT,Chubut,,,provincia,510,6,0
2020-08-23,CT,Chubut,,,provincia,534,6,0
2020-08-24,CT,Chubut,,,provincia,546,6,0
2020-08-25,CT,Chubut,,,provincia,581,6,0
2020-08-26,CT,Chubut,,,provincia,650,6,0
2020-08-27,CT,Chubut,,,provincia,699,6,0
2020-08-28,CT,Chubut,,,provincia,765,6,0
2020-08-29,CT,Chubut,,,provincia,808,6,0
2020-08-30,CT,Chubut,,,provincia,820,6,0
2020-08-31,CT,Chubut,,,provincia,899,6,0
2020-09-01,CT,Chubut,,,provincia,955,6,0
2020-09-02,CT,Chubut,,,provincia,983,6,0
2020-09-03,CT,Chubut,,,provincia,1062,6,0
2020-09-04,CT,Chubut,,,provincia,1101,7,0
2020-09-05,CT,Chubut,,,provincia,1178,7,0
2020-09-06,CT,Chubut,,,provincia,1217,7,0
2020-09-07,CT,Chubut,,,provincia,1274,8,0
2020-09-08,CT,Chubut,,,provincia,1322,8,0
2020-09-09,CT,Chubut,,,provincia,1361,8,0
2020-09-10,CT,Chubut,,,provincia,1390,8,0
2020-09-11,CT,Chubut,,,provincia,1480,12,0
2020-09-15,CT,Chubut,,,provincia,1855,21,0
2020-09-16,CT,Chubut,,,provincia,1949,22,0
2020-09-17,CT,Chubut,,,provincia,2044,22,0
2020-09-18,CT,Chubut,,,provincia,2100,23,0
2020-09-19,CT,Chubut,,,provincia,2181,23,0
2020-09-20,CT,Chubut,,,provincia,2307,23,0
2020-09-21,CT,Chubut,,,provincia,2423,23,0
2020-09-22,CT,Chubut,,,provincia,2555,25,0
2020-09-23,CT,Chubut,,,provincia,2758,26,0
2020-09-24,CT,Chubut,,,provincia,2920,26,0
2020-09-25,CT,Chubut,,,provincia,3127,27,0
2020-09-26,CT,Chubut,,,provincia,3309,30,0
2020-09-27,CT,Chubut,,,provincia,3409,30,0
2020-09-28,CT,Chubut,,,provincia,3590,35,0
2020-09-29,CT,Chubut,,,provincia,3799,42,0
2020-09-30,CT,Chubut,,,provincia,3955,48,0
2020-10-01,CT,Chubut,,,provincia,4143,101,0
2020-10-02,CT,Chubut,,,provincia,4357,103,0
2020-10-03,CT,Chubut,,,provincia,4506,103,0
2020-10-04,CT,Chubut,,,provincia,4687,103,0
2020-10-05,CT,Chubut,,,provincia,4921,114,0
2020-10-06,CT,Chubut,,,provincia,5243,114,0
2020-10-07,CT,Chubut,,,provincia,5624,119,0
2020-10-08,CT,Chubut,,,provincia,5936,122,0
2020-10-09,CT,Chubut,,,provincia,6141,128,0
2020-10-10,CT,Chubut,,,provincia,6623,130,0
2020-10-11,CT,Chubut,,,provincia,7002,130,0
2020-10-12,CT,Chubut,,,provincia,7350,145,0
2020-10-13,CT,Chubut,,,provincia,7788,149,0
2020-10-14,CT,Chubut,,,provincia,8024,149,0
2020-10-15,CT,Chubut,,,provincia,8269,158,0
2020-10-16,CT,Chubut,,,provincia,8557,160,0
2020-10-17,CT,Chubut,,,provincia,8892,160,0
2020-10-18,CT,Chubut,,,provincia,9042,169,0
2020-10-19,CT,Chubut,,,provincia,9262,170,0
2020-10-20,CT,Chubut,,,provincia,9727,177,0
2020-10-21,CT,Chubut,,,provincia,10258,179,0
2020-10-22,CT,Chubut,,,provincia,10928,183,0
2020-10-23,CT,Chubut,,,provincia,11601,191,0
2020-10-24,CT,Chubut,,,provincia,11952,196,0
2020-10-25,CT,Chubut,,,provincia,12437,201,0
2020-10-26,CT,Chubut,,,provincia,12981,203,0
2020-10-27,CT,Chubut,,,provincia,13299,228,0
2020-10-28,CT,Chubut,,,provincia,13594,228,0
2020-10-29,CT,Chubut,,,provincia,13878,229,0
2020-10-30,CT,Chubut,,,provincia,14187,231,0
2020-10-31,CT,Chubut,,,provincia,14382,233,0
2020-11-01,CT,Chubut,,,provincia,14475,234,0
2020-11-02,CT,Chubut,,,provincia,14791,239,0
2020-11-03,CT,Chubut,,,provincia,15212,239,0
2020-11-04,CT,Chubut,,,provincia,15712,245,0
2020-11-05,CT,Chubut,,,provincia,16153,259,0
2020-11-06,CT,Chubut,,,provincia,16545,261,0
2020-11-07,CT,Chubut,,,provincia,16776,261,0
2020-11-08,CT,Chubut,,,provincia,16895,261,0
2020-11-09,CT,Chubut,,,provincia,17183,262,0
2020-11-10,CT,Chubut,,,provincia,17694,275,0
2020-11-11,CT,Chubut,,,provincia,18048,282,0
2020-11-12,CT,Chubut,,,provincia,18390,295,0
2020-11-13,CT,Chubut,,,provincia,18757,312,0
2020-11-14,CT,Chubut,,,provincia,19032,314,0
2020-11-15,CT,Chubut,,,provincia,19191,316,0
2020-11-16,CT,Chubut,,,provincia,19403,318,0
2020-11-17,CT,Chubut,,,provincia,19747,326,0
2020-11-18,CT,Chubut,,,provincia,20113,333,0
2020-11-19,CT,Chubut,,,provincia,20437,345,0
2020-11-20,CT,Chubut,,,provincia,20780,349,0
2020-11-21,CT,Chubut,,,provincia,21021,350,0
2020-11-22,CT,Chubut,,,provincia,21167,350,0
2020-11-23,CT,Chubut,,,provincia,21271,352,0
2020-11-24,CT,Chubut,,,provincia,21498,354,0
2020-11-25,CT,Chubut,,,provincia,21757,355,0
2020-11-26,CT,Chubut,,,provincia,22023,355,0
2020-11-27,CT,Chubut,,,provincia,22287,364,0
2020-11-28,CT,Chubut,,,provincia,22517,366,0
2020-11-29,CT,Chubut,,,provincia,22631,369,0
2020-11-30,CT,Chubut,,,provincia,22851,370,0
2020-12-01,CT,Chubut,,,provincia,23289,374,0
2020-12-02,CT,Chubut,,,provincia,23545,382,0
2020-12-03,CT,Chubut,,,provincia,23861,391,0
2020-12-04,CT,Chubut,,,provincia,24197,393,0
2020-12-05,CT,Chubut,,,provincia,24411,393,0
2020-12-06,CT,Chubut,,,provincia,24488,393,0
2020-12-07,CT,Chubut,,,provincia,24649,400,0
2020-12-08,CT,Chubut,,,provincia,24770,404,0
2020-12-09,CT,Chubut,,,provincia,25036,404,0
2020-12-10,CT,Chubut,,,provincia,25373,419,0
2020-12-11,CT,Chubut,,,provincia,25715,429,0
2020-12-12,CT,Chubut,,,provincia,25944,429,0
2020-12-13,CT,Chubut,,,provincia,26069,429,0
2020-12-14,CT,Chubut,,,provincia,26301,442,0
2020-12-15,CT,Chubut,,,provincia,26659,455,0
2020-12-16,CT,Chubut,,,provincia,27043,458,0
2020-12-17,CT,Chubut,,,provincia,27460,464,0
2020-12-18,CT,Chubut,,,provincia,27693,468,0
2020-12-19,CT,Chubut,,,provincia,28015,479,0
2020-12-20,CT,Chubut,,,provincia,28130,479,0
2020-12-21,CT,Chubut,,,provincia,28466,480,0
2020-12-22,CT,Chubut,,,provincia,28905,481,0
2020-12-23,CT,Chubut,,,provincia,29213,481,0
2020-12-26,CT,Chubut,,,provincia,29721,481,0
2020-12-27,CT,Chubut,,,provincia,29881,482,0
2020-12-28,CT,Chubut,,,provincia,30332,486,0
2020-12-29,CT,Chubut,,,provincia,30938,488,0
2020-12-30,CT,Chubut,,,provincia,31476,488,0
2021-01-03,CT,Chubut,,,provincia,32454,489,0
2021-01-04,CT,Chubut,,,provincia,32769,490,0
2021-01-05,CT,Chubut,,,provincia,33352,491,0
2021-01-06,CT,Chubut,,,provincia,33838,491,0
2021-01-07,CT,Chubut,,,provincia,34328,518,0
2021-01-08,CT,Chubut,,,provincia,34796,527,0
2021-01-09,CT,Chubut,,,provincia,35126,527,0
2021-01-10,CT,Chubut,,,provincia,35320,530,0
2021-01-11,CT,Chubut,,,provincia,35825,537,0
2021-01-12,CT,Chubut,,,provincia,36427,539,0
2021-01-13,CT,Chubut,,,provincia,36955,542,0
2021-01-14,CT,Chubut,,,provincia,37498,554,0
2021-01-15,CT,Chubut,,,provincia,37906,554,0
2021-01-16,CT,Chubut,,,provincia,38087,556,0
2021-01-17,CT,Chubut,,,provincia,38238,557,0
2021-01-18,CT,Chubut,,,provincia,38421,558,0
2021-01-19,CT,Chubut,,,provincia,38770,563,0
2021-01-20,CT,Chubut,,,provincia,39111,565,0
2021-01-21,CT,Chubut,,,provincia,39492,573,0
2021-01-22,CT,Chubut,,,provincia,39949,587,0
2021-01-23,CT,Chubut,,,provincia,40148,589,0
2021-01-24,CT,Chubut,,,provincia,40256,589,0
2021-01-25,CT,Chubut,,,provincia,40560,600,0
2021-01-26,CT,Chubut,,,provincia,40880,611,0
2021-01-27,CT,Chubut,,,provincia,41275,639,0
2021-01-28,CT,Chubut,,,provincia,41591,647,0
2021-01-29,CT,Chubut,,,provincia,41983,653,0
2021-01-30,CT,Chubut,,,provincia,42216,660,0
2021-01-31,CT,Chubut,,,provincia,42306,660,0
2021-02-01,CT,Chubut,,,provincia,42522,679,0
2021-02-02,CT,Chubut,,,provincia,42849,700,0
2021-02-03,CT,Chubut,,,provincia,43148,704,0
2021-02-04,CT,Chubut,,,provincia,43422,708,0
2021-02-05,CT,Chubut,,,provincia,43695,713,0
2021-02-06,CT,Chubut,,,provincia,43850,713,0
2021-02-07,CT,Chubut,,,provincia,43912,714,0
2021-02-08,CT,Chubut,,,provincia,44150,718,0
