date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,UY-RO,Rocha,,departamento,1,,1
2020-04-27,UY-RO,Rocha,,departamento,1,,1
2020-04-28,UY-RO,Rocha,,departamento,1,,1
2020-04-29,UY-RO,Rocha,,departamento,1,,1
2020-04-30,UY-RO,Rocha,,departamento,1,,1
2020-05-03,UY-RO,Rocha,,departamento,1,,1
2020-05-04,UY-RO,Rocha,,departamento,1,,1
2020-05-05,UY-RO,Rocha,,departamento,1,,1
2020-05-06,UY-RO,Rocha,,departamento,1,,1
2020-05-07,UY-RO,Rocha,,departamento,1,,1
2020-05-08,UY-RO,Rocha,,departamento,1,,1
2020-05-09,UY-RO,Rocha,,departamento,1,,1
2020-05-10,UY-RO,Rocha,,departamento,1,,1
2020-05-11,UY-RO,Rocha,,departamento,1,,1
2020-05-12,UY-RO,Rocha,,departamento,1,,1
2020-05-13,UY-RO,Rocha,,departamento,1,,1
2020-05-14,UY-RO,Rocha,,departamento,1,,1
2020-05-15,UY-RO,Rocha,,departamento,1,,1
2020-05-16,UY-RO,Rocha,,departamento,1,,1
2020-05-17,UY-RO,Rocha,,departamento,1,,1
2020-05-18,UY-RO,Rocha,,departamento,1,,1
2020-05-19,UY-RO,Rocha,,departamento,1,,1
2020-05-20,UY-RO,Rocha,,departamento,1,,1
2020-05-21,UY-RO,Rocha,,departamento,1,,1
2020-05-22,UY-RO,Rocha,,departamento,1,,1
2020-05-23,UY-RO,Rocha,,departamento,1,,1
2020-05-24,UY-RO,Rocha,,departamento,1,,1
2020-05-25,UY-RO,Rocha,,departamento,1,,1
2020-05-26,UY-RO,Rocha,,departamento,1,,1
2020-05-27,UY-RO,Rocha,,departamento,1,,1
2020-05-28,UY-RO,Rocha,,departamento,1,,1
2020-05-29,UY-RO,Rocha,,departamento,1,,1
2020-05-30,UY-RO,Rocha,,departamento,1,,1
2020-05-31,UY-RO,Rocha,,departamento,1,,1
2020-06-01,UY-RO,Rocha,,departamento,1,,1
2020-06-02,UY-RO,Rocha,,departamento,1,,1
2020-06-03,UY-RO,Rocha,,departamento,2,,1
2020-06-04,UY-RO,Rocha,,departamento,2,,1
2020-06-05,UY-RO,Rocha,,departamento,2,,1
2020-06-06,UY-RO,Rocha,,departamento,2,,1
2020-06-07,UY-RO,Rocha,,departamento,2,,1
2020-06-08,UY-RO,Rocha,,departamento,2,,1
2020-06-09,UY-RO,Rocha,,departamento,2,,1
2020-06-10,UY-RO,Rocha,,departamento,2,,1
2020-06-11,UY-RO,Rocha,,departamento,2,,1
2020-06-12,UY-RO,Rocha,,departamento,2,,1
2020-06-13,UY-RO,Rocha,,departamento,2,,1
2020-06-14,UY-RO,Rocha,,departamento,2,,1
2020-06-15,UY-RO,Rocha,,departamento,2,,1
2020-06-16,UY-RO,Rocha,,departamento,2,,1
2020-06-17,UY-RO,Rocha,,departamento,2,,2
2020-06-18,UY-RO,Rocha,,departamento,2,,2
2020-06-19,UY-RO,Rocha,,departamento,2,,2
2020-06-20,UY-RO,Rocha,,departamento,2,,2
2020-06-21,UY-RO,Rocha,,departamento,2,,2
2020-06-22,UY-RO,Rocha,,departamento,2,,2
2020-06-23,UY-RO,Rocha,,departamento,2,,2
2020-06-24,UY-RO,Rocha,,departamento,2,,2
2020-06-25,UY-RO,Rocha,,departamento,2,,2
2020-06-26,UY-RO,Rocha,,departamento,2,,2
2020-06-27,UY-RO,Rocha,,departamento,2,,2
2020-06-28,UY-RO,Rocha,,departamento,2,,2
2020-06-29,UY-RO,Rocha,,departamento,2,,2
2020-06-30,UY-RO,Rocha,,departamento,2,,2
2020-07-01,UY-RO,Rocha,,departamento,2,,2
2020-07-02,UY-RO,Rocha,,departamento,2,,2
2020-07-03,UY-RO,Rocha,,departamento,2,,2
2020-07-04,UY-RO,Rocha,,departamento,2,,2
2020-07-05,UY-RO,Rocha,,departamento,2,,2
2020-07-06,UY-RO,Rocha,,departamento,2,,2
2020-07-07,UY-RO,Rocha,,departamento,2,,2
2020-07-08,UY-RO,Rocha,,departamento,2,,2
2020-07-09,UY-RO,Rocha,,departamento,2,,2
2020-07-10,UY-RO,Rocha,,departamento,2,,2
