date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-90,90+,unknown
2020-03-27,0,0,0,0,0,2,4,21,47,18,0
2020-03-28,0,0,0,0,0,4,4,26,50,18,0
2020-03-29,0,0,0,0,0,4,4,27,53,22,0
2020-03-30,0,0,1,0,0,8,6,34,65,32,0
2020-03-31,0,0,1,0,0,10,11,42,75,41,0
2020-04-01,0,0,1,0,1,12,16,62,99,48,0
2020-04-02,0,0,2,0,1,12,18,76,119,54,0
2020-04-03,0,0,2,0,1,13,23,89,144,61,0
2020-04-04,0,0,3,0,1,15,26,101,157,70,0
2020-04-05,0,0,3,1,1,17,27,106,170,76,0
2020-04-06,0,0,3,1,1,22,32,126,196,96,0
2020-04-07,0,0,3,1,2,26,41,156,237,125,0
2020-04-08,0,0,3,1,2,28,49,182,280,142,0
2020-04-09,0,0,3,1,4,31,57,203,325,169,0
2020-04-10,0,0,3,2,4,34,64,225,352,186,0
2020-04-11,0,0,3,2,4,34,64,228,362,190,0
2020-04-12,0,0,3,2,4,34,64,231,366,195,0
2020-04-13,0,0,3,2,4,35,66,236,371,202,0
2020-04-14,0,0,3,2,7,36,76,256,430,223,0
2020-04-15,0,0,3,4,10,41,95,301,492,257,0
2020-04-16,0,0,4,4,11,43,104,320,547,300,0
2020-04-17,0,0,4,4,11,46,108,331,581,315,0
2020-04-18,0,0,4,5,14,51,116,361,617,343,0
2020-04-19,0,0,4,5,14,53,121,367,627,349,0
2020-04-20,0,0,4,6,15,53,125,378,644,355,0
2020-04-21,0,0,4,6,17,59,138,414,718,409,0
2020-04-22,0,0,4,7,20,66,148,459,777,455,1
2020-04-23,0,0,4,8,22,70,160,476,807,474,0
2020-04-24,0,0,4,8,24,74,171,507,,511,0
2020-04-25,0,0,5,8,24,76,171,514,,525,0
2020-04-26,0,0,5,8,24,76,171,514,,526,0
2020-04-27,0,0,5,8,25,78,180,526,,546,0
2020-04-28,0,0,5,8,25,81,185,549,,564,0
2020-04-29,0,0,5,10,25,81,188,570,,602,0
2020-04-30,0,0,6,10,25,86,197,596,,618,0
2020-05-01,0,0,6,10,25,90,202,606,,639,0
2020-05-02,0,0,6,10,25,90,202,613,,642,0
2020-05-03,0,0,6,10,25,90,202,615,,647,0
2020-05-04,1,1,6,10,27,91,210,642,,669,0
2020-05-05,1,0,7,10,28,94,219,664,,691,1
2020-05-06,1,0,7,11,28,94,223,674,,720,1
2020-05-07,1,0,7,11,29,100,228,695,,749,1
2020-05-08,1,0,7,12,30,101,235,726,,774,1
2020-05-09,1,0,7,13,31,102,238,730,,785,0
2020-05-10,1,0,7,13,31,102,238,730,,786,0
2020-05-11,1,0,7,13,31,103,239,736,,797,0
2020-05-12,1,0,7,13,32,105,243,746,,812,0
2020-05-13,1,0,8,13,33,108,246,765,,864,0
2020-05-14,1,0,9,13,33,110,253,783,,873,1
2020-05-15,1,0,9,14,36,112,263,815,,901,0
2020-05-16,1,0,8,12,37,115,267,817,,907,0
2020-05-17,1,0,8,12,37,115,267,818,,909,0
2020-05-18,1,0,8,12,37,115,269,823,,915,0
2020-05-19,1,0,8,12,38,117,272,838,,928,0
2020-05-20,1,0,8,12,38,118,277,854,,962,0
2020-05-21,1,0,8,12,37,119,280,858,,971,0
2020-05-22,1,0,8,12,38,120,284,870,,986,0
2020-05-23,1,0,8,12,38,122,287,884,,1004,0
2020-05-24,1,0,8,12,38,122,287,885,,1007,0
2020-05-25,1,0,8,12,38,122,287,888,,1017,0
2020-05-26,1,0,8,12,39,129,294,909,,1039,0
2020-05-27,1,0,8,12,40,131,295,929,,1073,0
2020-05-28,1,0,8,12,40,132,298,934,,1085,0
2020-05-29,1,0,8,12,42,132,303,955,,1108,0
2020-05-30,1,0,8,12,42,132,311,963,,1113,0
2020-05-31,1,0,8,12,42,132,311,963,,1113,0
2020-06-01,1,0,8,12,42,132,311,967,,1115,0
2020-06-02,1,0,8,12,42,133,316,979,,1136,0
2020-06-03,1,0,8,13,42,134,321,998,,1158,0
2020-06-04,1,0,8,12,42,134,324,1002,,1165,0
2020-06-05,1,0,8,12,42,136,336,1017,,1181,0
2020-06-06,1,0,8,12,42,137,336,1022,,1184,0
2020-06-07,1,0,8,12,42,137,336,1023,,1184,0
2020-06-08,1,0,8,12,42,138,339,1031,,1193,0
2020-06-09,1,0,8,12,42,139,340,1031,,1201,0
2020-06-10,1,0,8,12,42,141,346,1044,,1221,0
2020-06-11,1,0,8,12,42,142,346,1046,,1228,0
2020-06-12,1,0,8,12,42,143,348,1053,,1241,0
2020-06-13,1,0,8,12,42,143,350,1055,,1247,0
2020-06-14,1,0,8,12,42,143,350,1055,,1247,0
2020-06-15,1,0,8,12,42,143,350,1062,,1252,0
2020-06-16,1,0,8,13,42,144,351,1076,,1265,0
2020-06-17,1,0,8,13,42,146,358,1102,,1287,0
2020-06-18,1,0,8,13,42,146,358,1105,,1292,0
2020-06-19,1,0,8,13,42,146,358,1105,,1292,0
2020-06-20,1,0,8,13,42,146,358,1105,,1292,0
2020-06-21,1,0,8,13,42,146,358,1105,,1292,0
2020-06-22,1,0,8,13,44,147,361,1124,,1309,0
2020-06-23,1,0,8,13,44,150,362,1130,,1318,0
2020-06-24,1,0,8,13,44,150,364,1141,,1331,0
2020-06-25,1,0,8,13,44,151,366,1144,,1336,0
2020-06-26,1,0,8,13,44,152,369,1151,,1351,0
2020-06-27,1,0,8,13,44,152,369,1151,,1351,0
2020-06-28,1,0,8,13,44,152,369,1151,,1351,0
2020-06-29,1,0,8,14,44,153,369,1156,,1358,0
2020-06-30,1,0,8,15,44,153,370,1161,,1363,0
2020-07-01,1,0,8,17,44,154,373,1167,,1377,0
2020-07-02,1,0,8,17,44,154,374,1174,,1392,0
2020-07-03,1,0,8,17,44,154,375,1174,,1395,0
2020-07-04,1,0,8,17,44,154,375,1174,,1395,0
2020-07-05,1,0,8,17,44,154,375,1174,,1395,0
2020-07-06,1,0,8,17,44,154,376,1178,,1398,0
2020-07-07,1,0,8,16,44,155,377,1181,,1403,0
2020-07-08,1,0,8,16,44,155,378,1183,,1416,0
2020-07-09,1,0,8,16,44,156,379,1188,,1420,0
2020-07-10,1,0,8,16,44,156,379,1194,,1428,0
2020-07-11,1,0,8,16,44,156,379,1194,,1428,0
2020-07-12,1,0,8,16,44,156,379,1194,,1428,0
2020-07-13,1,0,8,16,44,156,380,1195,,1431,0
2020-07-14,1,0,8,16,44,157,380,1195,,1436,0
2020-07-15,1,0,8,16,45,157,380,1201,,1451,0
2020-07-16,1,0,8,16,45,157,380,1204,,1459,0
2020-07-17,1,0,9,16,45,157,382,1210,,1466,0
2020-07-18,1,0,9,16,45,157,382,1210,,1466,0
2020-07-19,1,0,9,16,45,157,382,1210,,1466,0
2020-07-20,1,0,9,16,45,157,383,1212,,1470,0
2020-07-21,1,0,9,16,45,157,384,1216,,1471,0
2020-07-22,1,0,9,16,45,157,386,1219,,1477,0
2020-07-23,1,0,9,16,45,158,387,1220,,1480,0
2020-07-24,1,0,9,16,45,158,389,1228,,1486,0
2020-07-25,1,0,9,16,45,158,389,1228,,1486,0
2020-07-26,1,0,9,16,45,158,389,1228,,1486,0
2020-07-27,1,0,8,16,45,159,389,1229,,1486,0
2020-07-28,1,0,8,16,45,159,389,1229,,1486,0
2020-07-29,1,0,9,16,45,160,392,1234,,1493,0
2020-07-30,1,0,9,16,45,160,393,1235,,1498,0
2020-07-31,1,0,9,16,45,160,394,1236,,1498,0
2020-08-01,1,0,9,16,45,160,394,1236,,1498,0
2020-08-02,1,0,9,16,45,160,394,1236,,1498,0
2020-08-03,1,0,9,16,44,160,395,1237,,1496,0
2020-08-04,1,0,9,16,44,161,395,1239,,1496,0
2020-08-05,1,0,9,16,44,161,397,1240,,1500,0
2020-08-06,1,0,9,16,44,161,398,1243,,1501,0
2020-08-07,1,0,9,16,44,161,398,1241,,1501,0
2020-08-08,1,0,9,16,44,161,398,1241,,1501,0
2020-08-09,1,0,9,16,44,161,398,1241,,1501,0
2020-08-10,1,0,9,16,44,161,398,1242,,1503,0
2020-08-11,1,0,9,16,44,161,398,1245,,1503,0
2020-08-12,1,0,9,16,44,161,398,1245,,1504,0
2020-08-13,1,0,9,16,44,161,398,1245,,1505,0
2020-08-14,1,0,9,16,44,162,399,1246,,1508,0
2020-08-15,1,0,9,16,44,162,399,1246,,1508,0
2020-08-16,1,0,9,16,44,162,399,1246,,1508,0
2020-08-17,1,0,9,16,44,162,399,1248,,1509,0
2020-08-18,1,0,10,16,45,162,398,1248,,1509,0
2020-08-19,1,0,10,16,45,162,398,1250,,1512,0
2020-08-20,1,0,10,16,45,162,398,1251,,1512,0
2020-08-21,1,0,10,16,45,162,399,1252,,1514,0
2020-08-22,1,0,10,16,45,162,399,1252,,1514,0
2020-08-23,1,0,10,16,45,162,399,1252,,1514,0
2020-08-24,1,0,11,16,45,162,399,1252,,1516,0
2020-08-25,1,0,10,16,45,162,400,1252,,1517,0
2020-08-26,1,0,10,16,45,162,401,1252,,1518,0
2020-08-27,1,0,10,16,45,162,401,1255,,1518,0
2020-08-28,1,0,10,16,45,162,401,1255,,1519,0
2020-08-29,1,0,10,16,45,162,401,1255,,1519,0
2020-08-30,1,0,10,16,45,162,401,1255,,1519,0
2020-08-31,1,0,10,16,45,161,400,1253,,1513,0
2020-09-01,1,0,10,16,45,162,401,1254,,1513,0
2020-09-02,1,0,10,16,45,162,402,1255,,1516,0
2020-09-03,1,0,10,17,45,163,405,1258,,1516,0
2020-09-04,1,0,10,17,45,163,405,1258,,1518,0
2020-09-05,1,0,10,17,45,163,405,1258,,1518,0
2020-09-06,1,0,10,17,45,163,405,1258,,1518,0
2020-09-07,1,0,10,17,45,163,405,1258,,1519,0
2020-09-08,1,0,10,17,45,162,405,1258,,1520,0
2020-09-09,1,0,10,17,45,162,405,1260,,1521,0
2020-09-10,1,0,10,17,45,162,405,1260,,1521,0
2020-09-11,1,0,10,17,45,162,405,1261,,1522,0
2020-09-12,1,0,10,17,45,162,405,1261,,1522,0
2020-09-16,1,0,10,18,45,163,405,1265,,1524,0
2020-09-17,1,0,10,18,45,163,405,1267,,1524,0
2020-09-18,1,0,10,18,45,163,405,1267,,1524,0
2020-09-19,1,0,10,18,45,163,405,1267,,1524,0
2020-09-20,1,0,10,18,45,163,405,1267,,1524,0
2020-09-21,1,0,10,18,45,163,405,1267,,1524,0
2020-09-22,1,0,10,18,45,164,406,1267,,1525,0
2020-09-23,1,0,10,18,45,164,406,1269,,1527,0
2020-09-24,2,0,10,18,45,164,406,1268,,1528,0
2020-09-25,2,0,10,19,45,164,406,1268,,1528,0
2020-09-26,2,0,10,19,45,164,406,1268,,1528,0
2020-09-27,2,0,10,19,45,164,406,1268,,1528,0
2020-09-28,2,0,10,19,45,164,406,1268,,1528,0
2020-09-29,2,0,10,19,45,166,407,1268,,1533,0
2020-09-30,2,0,10,19,45,166,407,1268,,1535,0
2020-10-01,2,0,10,19,45,166,407,1268,,1535,0
2020-10-02,2,0,10,19,45,166,408,1268,,1535,0
2020-10-03,2,0,10,19,45,166,408,1268,,1535,0
2020-10-04,2,0,10,19,45,166,408,1268,,1535,0
2020-10-05,2,0,10,19,45,166,408,1268,,1535,0
2020-10-06,2,0,10,18,45,166,408,1265,,1534,0
2020-10-07,2,0,10,18,45,166,409,1266,,1536,0
2020-10-08,2,0,10,18,45,166,409,1266,,1536,0
2020-10-09,2,0,10,18,45,166,409,1266,,1537,0
2020-10-10,2,0,10,18,45,166,409,1266,,1537,0
2020-10-11,2,0,10,18,45,166,409,1266,,1537,0
2020-10-12,2,0,10,18,45,166,409,1266,,1537,0
2020-10-13,2,0,11,18,45,166,410,1267,,1538,0
2020-10-14,2,0,11,18,45,166,410,1268,,1539,0
2020-10-15,2,0,11,18,45,166,410,1268,,1540,0
2020-10-16,2,0,11,18,45,166,410,1270,,1541,0
2020-10-17,2,0,11,18,45,166,410,1270,,1541,0
2020-10-18,2,0,11,18,45,166,410,1270,,1541,0
2020-10-19,2,0,11,18,45,166,410,1270,,1541,0
2020-10-20,2,0,11,18,45,167,410,1272,,1541,0
2020-10-21,2,0,11,18,45,167,412,1274,,1542,0
2020-10-22,2,0,11,18,45,167,412,1274,,1542,0
2020-10-23,2,0,11,18,45,167,412,1274,,1543,0
2020-10-24,2,0,11,18,45,167,412,1274,,1543,0
2020-10-25,2,0,11,18,45,167,412,1274,,1543,0
2020-10-26,2,0,11,18,45,167,412,1274,,1543,0
2020-10-27,2,0,10,17,45,164,409,1269,,1544,0
2020-10-28,2,0,9,17,45,164,410,1271,,1548,0
2020-10-29,2,0,9,17,46,164,411,1271,,1548,0
2020-10-30,2,0,9,17,45,164,412,1271,,1551,0
2020-10-31,2,0,9,17,45,164,412,1271,,1551,0
2020-11-01,2,0,9,17,45,164,412,1271,,1551,0
2020-11-02,2,0,9,17,45,164,412,1271,,1551,0
2020-11-03,2,0,10,17,46,164,414,1275,,1558,0
2020-11-04,2,0,11,17,46,166,415,1279,,1570,0
2020-11-05,2,0,11,17,46,166,415,1282,,1571,0
2020-11-06,2,0,12,17,46,166,415,1284,,1576,0
2020-11-07,2,0,12,17,46,166,415,1284,,1576,0
2020-11-08,2,0,12,17,46,166,415,1284,,1576,0
