date,iso,province,city,place_type,cases,deaths,recovered
2020-01-25,NS,Nova Scotia,,province,0,,
2020-01-26,NS,Nova Scotia,,province,0,,
2020-01-27,NS,Nova Scotia,,province,0,,
2020-01-28,NS,Nova Scotia,,province,0,,
2020-01-29,NS,Nova Scotia,,province,0,,
2020-01-30,NS,Nova Scotia,,province,0,,
2020-01-31,NS,Nova Scotia,,province,0,,
2020-02-01,NS,Nova Scotia,,province,0,,
2020-02-02,NS,Nova Scotia,,province,0,,
2020-02-03,NS,Nova Scotia,,province,0,,
2020-02-04,NS,Nova Scotia,,province,0,,
2020-02-05,NS,Nova Scotia,,province,0,,
2020-02-06,NS,Nova Scotia,,province,0,,
2020-02-07,NS,Nova Scotia,,province,0,,
2020-02-08,NS,Nova Scotia,,province,0,,
2020-02-09,NS,Nova Scotia,,province,0,,
2020-02-10,NS,Nova Scotia,,province,0,,
2020-02-11,NS,Nova Scotia,,province,0,,
2020-02-12,NS,Nova Scotia,,province,0,,0
2020-02-13,NS,Nova Scotia,,province,0,,0
2020-02-14,NS,Nova Scotia,,province,0,,0
2020-02-15,NS,Nova Scotia,,province,0,,0
2020-02-16,NS,Nova Scotia,,province,0,,0
2020-02-17,NS,Nova Scotia,,province,0,,0
2020-02-18,NS,Nova Scotia,,province,0,,0
2020-02-19,NS,Nova Scotia,,province,0,,0
2020-02-20,NS,Nova Scotia,,province,0,,0
2020-02-21,NS,Nova Scotia,,province,0,,0
2020-02-22,NS,Nova Scotia,,province,0,,0
2020-02-23,NS,Nova Scotia,,province,0,,0
2020-02-24,NS,Nova Scotia,,province,0,,0
2020-02-25,NS,Nova Scotia,,province,0,,0
2020-02-26,NS,Nova Scotia,,province,0,,0
2020-02-27,NS,Nova Scotia,,province,0,,0
2020-02-28,NS,Nova Scotia,,province,0,,0
2020-02-29,NS,Nova Scotia,,province,0,,0
2020-03-01,NS,Nova Scotia,,province,0,,0
2020-03-02,NS,Nova Scotia,,province,0,,0
2020-03-03,NS,Nova Scotia,,province,0,,0
2020-03-04,NS,Nova Scotia,,province,0,,0
2020-03-05,NS,Nova Scotia,,province,0,,0
2020-03-06,NS,Nova Scotia,,province,0,,0
2020-03-07,NS,Nova Scotia,,province,0,,0
2020-03-08,NS,Nova Scotia,,province,0,0,0
2020-03-09,NS,Nova Scotia,,province,0,0,0
2020-03-10,NS,Nova Scotia,,province,0,0,0
2020-03-11,NS,Nova Scotia,,province,0,0,0
2020-03-12,NS,Nova Scotia,,province,0,0,0
2020-03-13,NS,Nova Scotia,,province,0,0,0
2020-03-14,NS,Nova Scotia,,province,0,0,0
2020-03-15,NS,Nova Scotia,,province,3,0,0
2020-03-16,NS,Nova Scotia,,province,5,0,0
2020-03-17,NS,Nova Scotia,,province,7,0,0
2020-03-18,NS,Nova Scotia,,province,12,0,0
2020-03-19,NS,Nova Scotia,,province,14,0,0
2020-03-20,NS,Nova Scotia,,province,15,0,0
2020-03-21,NS,Nova Scotia,,province,21,0,0
2020-03-22,NS,Nova Scotia,,province,28,0,0
2020-03-23,NS,Nova Scotia,,province,41,0,0
2020-03-24,NS,Nova Scotia,,province,51,0,1
2020-03-25,NS,Nova Scotia,,province,68,0,2
2020-03-26,NS,Nova Scotia,,province,73,0,2
2020-03-27,NS,Nova Scotia,,province,90,0,3
2020-03-28,NS,Nova Scotia,,province,110,0,4
2020-03-29,NS,Nova Scotia,,province,122,0,7
2020-03-30,NS,Nova Scotia,,province,127,0,10
2020-03-31,NS,Nova Scotia,,province,147,0,10
2020-04-01,NS,Nova Scotia,,province,173,0,11
2020-04-02,NS,Nova Scotia,,province,193,0,16
2020-04-03,NS,Nova Scotia,,province,207,0,21
2020-04-04,NS,Nova Scotia,,province,236,0,50
2020-04-05,NS,Nova Scotia,,province,262,0,53
2020-04-06,NS,Nova Scotia,,province,293,0,64
2020-04-07,NS,Nova Scotia,,province,310,1,66
2020-04-08,NS,Nova Scotia,,province,342,1,77
2020-04-09,NS,Nova Scotia,,province,373,2,82
2020-04-10,NS,Nova Scotia,,province,407,2,93
2020-04-11,NS,Nova Scotia,,province,428,2,95
2020-04-12,NS,Nova Scotia,,province,445,2,97
2020-04-13,NS,Nova Scotia,,province,474,3,101
2020-04-14,NS,Nova Scotia,,province,517,3,124
2020-04-15,NS,Nova Scotia,,province,549,3,137
2020-04-16,NS,Nova Scotia,,province,579,3,176
2020-04-17,NS,Nova Scotia,,province,606,4,177
2020-04-18,NS,Nova Scotia,,province,649,7,184
2020-04-19,NS,Nova Scotia,,province,675,9,200
2020-04-20,NS,Nova Scotia,,province,721,9,248
2020-04-21,NS,Nova Scotia,,province,737,10,286
2020-04-22,NS,Nova Scotia,,province,772,12,330
2020-04-23,NS,Nova Scotia,,province,827,16,358
2020-04-24,NS,Nova Scotia,,province,850,16,392
2020-04-25,NS,Nova Scotia,,province,865,22,412
2020-04-26,NS,Nova Scotia,,province,873,24,439
2020-04-27,NS,Nova Scotia,,province,900,24,509
2020-04-28,NS,Nova Scotia,,province,915,27,522
2020-04-29,NS,Nova Scotia,,province,935,28,529
2020-04-30,NS,Nova Scotia,,province,947,28,545
2020-05-01,NS,Nova Scotia,,province,959,29,592
2020-05-02,NS,Nova Scotia,,province,963,31,609
2020-05-03,NS,Nova Scotia,,province,971,37,624
2020-05-04,NS,Nova Scotia,,province,985,38,638
2020-05-05,NS,Nova Scotia,,province,991,41,652
2020-05-06,NS,Nova Scotia,,province,998,41,661
2020-05-07,NS,Nova Scotia,,province,1007,44,708
2020-05-08,NS,Nova Scotia,,province,1008,46,722
2020-05-09,NS,Nova Scotia,,province,1011,47,743
2020-05-10,NS,Nova Scotia,,province,1018,47,749
2020-05-11,NS,Nova Scotia,,province,1019,48,767
2020-05-12,NS,Nova Scotia,,province,1020,48,864
2020-05-13,NS,Nova Scotia,,province,1024,51,870
2020-05-14,NS,Nova Scotia,,province,1026,51,909
2020-05-15,NS,Nova Scotia,,province,1034,55,918
2020-05-16,NS,Nova Scotia,,province,1037,55,930
2020-05-17,NS,Nova Scotia,,province,1040,55,938
2020-05-18,NS,Nova Scotia,,province,1043,55,946
2020-05-19,NS,Nova Scotia,,province,1044,56,956
2020-05-20,NS,Nova Scotia,,province,1045,57,956
2020-05-21,NS,Nova Scotia,,province,1046,58,959
2020-05-22,NS,Nova Scotia,,province,1047,58,961
2020-05-23,NS,Nova Scotia,,province,1048,58,969
2020-05-24,NS,Nova Scotia,,province,1049,58,973
2020-05-25,NS,Nova Scotia,,province,1050,58,974
2020-05-26,NS,Nova Scotia,,province,1052,59,976
2020-05-27,NS,Nova Scotia,,province,1053,59,975
2020-05-28,NS,Nova Scotia,,province,1055,59,977
2020-05-29,NS,Nova Scotia,,province,1055,59,978
2020-05-30,NS,Nova Scotia,,province,1056,60,978
2020-05-31,NS,Nova Scotia,,province,1056,60,981
2020-06-01,NS,Nova Scotia,,province,1057,60,984
2020-06-02,NS,Nova Scotia,,province,1057,60,992
2020-06-03,NS,Nova Scotia,,province,1058,60,993
2020-06-04,NS,Nova Scotia,,province,1058,61,994
2020-06-05,NS,Nova Scotia,,province,1058,61,994
2020-06-06,NS,Nova Scotia,,province,1058,61,994
2020-06-07,NS,Nova Scotia,,province,1059,61,994
2020-06-08,NS,Nova Scotia,,province,1059,61,994
2020-06-09,NS,Nova Scotia,,province,1060,62,994
2020-06-10,NS,Nova Scotia,,province,1061,62,994
2020-06-11,NS,Nova Scotia,,province,1061,62,995
2020-06-12,NS,Nova Scotia,,province,1061,62,995
2020-06-13,NS,Nova Scotia,,province,1061,62,996
2020-06-14,NS,Nova Scotia,,province,1061,62,996
2020-06-15,NS,Nova Scotia,,province,1061,62,996
2020-06-16,NS,Nova Scotia,,province,1061,62,997
2020-06-17,NS,Nova Scotia,,province,1061,62,997
2020-06-18,NS,Nova Scotia,,province,1061,62,997
2020-06-19,NS,Nova Scotia,,province,1061,62,998
2020-06-20,NS,Nova Scotia,,province,1061,62,998
2020-06-21,NS,Nova Scotia,,province,1061,62,998
2020-06-22,NS,Nova Scotia,,province,1061,63,998
2020-06-23,NS,Nova Scotia,,province,1061,63,998
2020-06-24,NS,Nova Scotia,,province,1061,63,998
2020-06-25,NS,Nova Scotia,,province,1061,63,998
2020-06-26,NS,Nova Scotia,,province,1061,63,998
2020-06-27,NS,Nova Scotia,,province,1061,63,998
2020-06-28,NS,Nova Scotia,,province,1061,63,998
2020-06-29,NS,Nova Scotia,,province,1061,63,998
2020-06-30,NS,Nova Scotia,,province,1062,63,998
2020-07-01,NS,Nova Scotia,,province,1063,63,998
2020-07-02,NS,Nova Scotia,,province,1064,63,998
2020-07-03,NS,Nova Scotia,,province,1064,63,998
2020-07-04,NS,Nova Scotia,,province,1064,63,998
2020-07-05,NS,Nova Scotia,,province,1064,63,998
2020-07-06,NS,Nova Scotia,,province,1065,63,998
2020-07-07,NS,Nova Scotia,,province,1065,63,998
