date,iso,province,city,place_type,cases,deaths,recovered
2020-01-25,NU,Nunavut,,territory,0,,
2020-01-26,NU,Nunavut,,territory,0,,
2020-01-27,NU,Nunavut,,territory,0,,
2020-01-28,NU,Nunavut,,territory,0,,
2020-01-29,NU,Nunavut,,territory,0,,
2020-01-30,NU,Nunavut,,territory,0,,
2020-01-31,NU,Nunavut,,territory,0,,
2020-02-01,NU,Nunavut,,territory,0,,
2020-02-02,NU,Nunavut,,territory,0,,
2020-02-03,NU,Nunavut,,territory,0,,
2020-02-04,NU,Nunavut,,territory,0,,
2020-02-05,NU,Nunavut,,territory,0,,
2020-02-06,NU,Nunavut,,territory,0,,
2020-02-07,NU,Nunavut,,territory,0,,
2020-02-08,NU,Nunavut,,territory,0,,
2020-02-09,NU,Nunavut,,territory,0,,
2020-02-10,NU,Nunavut,,territory,0,,
2020-02-11,NU,Nunavut,,territory,0,,
2020-02-12,NU,Nunavut,,territory,0,,0
2020-02-13,NU,Nunavut,,territory,0,,0
2020-02-14,NU,Nunavut,,territory,0,,0
2020-02-15,NU,Nunavut,,territory,0,,0
2020-02-16,NU,Nunavut,,territory,0,,0
2020-02-17,NU,Nunavut,,territory,0,,0
2020-02-18,NU,Nunavut,,territory,0,,0
2020-02-19,NU,Nunavut,,territory,0,,0
2020-02-20,NU,Nunavut,,territory,0,,0
2020-02-21,NU,Nunavut,,territory,0,,0
2020-02-22,NU,Nunavut,,territory,0,,0
2020-02-23,NU,Nunavut,,territory,0,,0
2020-02-24,NU,Nunavut,,territory,0,,0
2020-02-25,NU,Nunavut,,territory,0,,0
2020-02-26,NU,Nunavut,,territory,0,,0
2020-02-27,NU,Nunavut,,territory,0,,0
2020-02-28,NU,Nunavut,,territory,0,,0
2020-02-29,NU,Nunavut,,territory,0,,0
2020-03-01,NU,Nunavut,,territory,0,,0
2020-03-02,NU,Nunavut,,territory,0,,0
2020-03-03,NU,Nunavut,,territory,0,,0
2020-03-04,NU,Nunavut,,territory,0,,0
2020-03-05,NU,Nunavut,,territory,0,,0
2020-03-06,NU,Nunavut,,territory,0,,0
2020-03-07,NU,Nunavut,,territory,0,,0
2020-03-08,NU,Nunavut,,territory,0,0,0
2020-03-09,NU,Nunavut,,territory,0,0,0
2020-03-10,NU,Nunavut,,territory,0,0,0
2020-03-11,NU,Nunavut,,territory,0,0,0
2020-03-12,NU,Nunavut,,territory,0,0,0
2020-03-13,NU,Nunavut,,territory,0,0,0
2020-03-14,NU,Nunavut,,territory,0,0,0
2020-03-15,NU,Nunavut,,territory,0,0,0
2020-03-16,NU,Nunavut,,territory,0,0,0
2020-03-17,NU,Nunavut,,territory,0,0,0
2020-03-18,NU,Nunavut,,territory,0,0,0
2020-03-19,NU,Nunavut,,territory,0,0,0
2020-03-20,NU,Nunavut,,territory,0,0,0
2020-03-21,NU,Nunavut,,territory,0,0,0
2020-03-22,NU,Nunavut,,territory,0,0,0
2020-03-23,NU,Nunavut,,territory,0,0,0
2020-03-24,NU,Nunavut,,territory,0,0,0
2020-03-25,NU,Nunavut,,territory,0,0,0
2020-03-26,NU,Nunavut,,territory,0,0,0
2020-03-27,NU,Nunavut,,territory,0,0,0
2020-03-28,NU,Nunavut,,territory,0,0,0
2020-03-29,NU,Nunavut,,territory,0,0,0
2020-03-30,NU,Nunavut,,territory,0,0,0
2020-03-31,NU,Nunavut,,territory,0,0,0
2020-04-01,NU,Nunavut,,territory,0,0,0
2020-04-02,NU,Nunavut,,territory,0,0,0
2020-04-03,NU,Nunavut,,territory,0,0,0
2020-04-04,NU,Nunavut,,territory,0,0,0
2020-04-05,NU,Nunavut,,territory,0,0,0
2020-04-06,NU,Nunavut,,territory,0,0,0
2020-04-07,NU,Nunavut,,territory,0,0,0
2020-04-08,NU,Nunavut,,territory,0,0,0
2020-04-09,NU,Nunavut,,territory,0,0,0
2020-04-10,NU,Nunavut,,territory,0,0,0
2020-04-11,NU,Nunavut,,territory,0,0,0
2020-04-12,NU,Nunavut,,territory,0,0,0
2020-04-13,NU,Nunavut,,territory,0,0,0
2020-04-14,NU,Nunavut,,territory,0,0,0
2020-04-15,NU,Nunavut,,territory,0,0,0
2020-04-16,NU,Nunavut,,territory,0,0,0
2020-04-17,NU,Nunavut,,territory,0,0,0
2020-04-18,NU,Nunavut,,territory,0,0,0
2020-04-19,NU,Nunavut,,territory,0,0,0
2020-04-20,NU,Nunavut,,territory,0,0,0
2020-04-21,NU,Nunavut,,territory,0,0,0
2020-04-22,NU,Nunavut,,territory,0,0,0
2020-04-23,NU,Nunavut,,territory,0,0,0
2020-04-24,NU,Nunavut,,territory,0,0,0
2020-04-25,NU,Nunavut,,territory,0,0,0
2020-04-26,NU,Nunavut,,territory,0,0,0
2020-04-27,NU,Nunavut,,territory,0,0,0
2020-04-28,NU,Nunavut,,territory,0,0,0
2020-04-29,NU,Nunavut,,territory,0,0,0
2020-04-30,NU,Nunavut,,territory,0,0,0
2020-05-01,NU,Nunavut,,territory,0,0,0
2020-05-02,NU,Nunavut,,territory,0,0,0
2020-05-03,NU,Nunavut,,territory,0,0,0
2020-05-04,NU,Nunavut,,territory,0,0,0
