date,iso,province,city,place_type,cases,deaths,recovered
2020-01-25,BC,British Columbia,,province,0,,
2020-01-26,BC,British Columbia,,province,0,,
2020-01-27,BC,British Columbia,,province,0,,
2020-01-28,BC,British Columbia,,province,1,,
2020-01-29,BC,British Columbia,,province,1,,
2020-01-30,BC,British Columbia,,province,1,,
2020-01-31,BC,British Columbia,,province,1,,
2020-02-01,BC,British Columbia,,province,1,,
2020-02-02,BC,British Columbia,,province,1,,
2020-02-03,BC,British Columbia,,province,1,,
2020-02-04,BC,British Columbia,,province,2,,
2020-02-05,BC,British Columbia,,province,2,,
2020-02-06,BC,British Columbia,,province,4,,
2020-02-07,BC,British Columbia,,province,4,,
2020-02-08,BC,British Columbia,,province,4,,
2020-02-09,BC,British Columbia,,province,4,,
2020-02-10,BC,British Columbia,,province,4,,
2020-02-11,BC,British Columbia,,province,4,,
2020-02-12,BC,British Columbia,,province,4,,0
2020-02-13,BC,British Columbia,,province,4,,0
2020-02-14,BC,British Columbia,,province,5,,0
2020-02-15,BC,British Columbia,,province,5,,0
2020-02-16,BC,British Columbia,,province,5,,0
2020-02-17,BC,British Columbia,,province,5,,0
2020-02-18,BC,British Columbia,,province,5,,0
2020-02-19,BC,British Columbia,,province,5,,1
2020-02-20,BC,British Columbia,,province,6,,1
2020-02-21,BC,British Columbia,,province,6,,1
2020-02-22,BC,British Columbia,,province,6,,1
2020-02-23,BC,British Columbia,,province,6,,1
2020-02-24,BC,British Columbia,,province,7,,1
2020-02-25,BC,British Columbia,,province,7,,4
2020-02-26,BC,British Columbia,,province,7,,4
2020-02-27,BC,British Columbia,,province,7,,4
2020-02-28,BC,British Columbia,,province,7,,4
2020-02-29,BC,British Columbia,,province,8,,4
2020-03-01,BC,British Columbia,,province,8,,4
2020-03-02,BC,British Columbia,,province,8,,4
2020-03-03,BC,British Columbia,,province,12,,4
2020-03-04,BC,British Columbia,,province,13,,4
2020-03-05,BC,British Columbia,,province,21,,4
2020-03-06,BC,British Columbia,,province,21,,4
2020-03-07,BC,British Columbia,,province,27,,4
2020-03-08,BC,British Columbia,,province,27,1,4
2020-03-09,BC,British Columbia,,province,32,1,4
2020-03-10,BC,British Columbia,,province,39,1,4
2020-03-11,BC,British Columbia,,province,46,1,4
2020-03-12,BC,British Columbia,,province,53,1,4
2020-03-13,BC,British Columbia,,province,64,1,5
2020-03-14,BC,British Columbia,,province,73,1,5
2020-03-15,BC,British Columbia,,province,73,1,5
2020-03-16,BC,British Columbia,,province,103,4,5
2020-03-17,BC,British Columbia,,province,186,7,5
2020-03-18,BC,British Columbia,,province,231,7,5
2020-03-19,BC,British Columbia,,province,271,8,5
2020-03-20,BC,British Columbia,,province,348,9,6
2020-03-21,BC,British Columbia,,province,424,10,6
2020-03-22,BC,British Columbia,,province,424,10,6
2020-03-23,BC,British Columbia,,province,472,13,100
2020-03-24,BC,British Columbia,,province,617,13,173
2020-03-25,BC,British Columbia,,province,659,14,183
2020-03-26,BC,British Columbia,,province,725,14,186
2020-03-27,BC,British Columbia,,province,792,16,275
2020-03-28,BC,British Columbia,,province,884,17,396
2020-03-29,BC,British Columbia,,province,884,17,396
2020-03-30,BC,British Columbia,,province,970,19,469
2020-03-31,BC,British Columbia,,province,1013,24,507
2020-04-01,BC,British Columbia,,province,1066,25,606
2020-04-02,BC,British Columbia,,province,1121,31,641
2020-04-03,BC,British Columbia,,province,1174,35,673
2020-04-04,BC,British Columbia,,province,1203,38,704
2020-04-05,BC,British Columbia,,province,1203,38,704
2020-04-06,BC,British Columbia,,province,1266,39,783
2020-04-07,BC,British Columbia,,province,1291,43,805
2020-04-08,BC,British Columbia,,province,1336,48,838
2020-04-09,BC,British Columbia,,province,1370,50,858
2020-04-10,BC,British Columbia,,province,1410,55,879
2020-04-11,BC,British Columbia,,province,1445,58,905
2020-04-12,BC,British Columbia,,province,1445,58,905
2020-04-13,BC,British Columbia,,province,1490,69,926
2020-04-14,BC,British Columbia,,province,1517,72,942
2020-04-15,BC,British Columbia,,province,1561,75,955
2020-04-16,BC,British Columbia,,province,1575,77,966
2020-04-17,BC,British Columbia,,province,1618,78,966
2020-04-18,BC,British Columbia,,province,1647,81,987
2020-04-19,BC,British Columbia,,province,1647,81,987
2020-04-20,BC,British Columbia,,province,1699,86,1039
2020-04-21,BC,British Columbia,,province,1724,87,1041
2020-04-22,BC,British Columbia,,province,1795,90,1079
2020-04-23,BC,British Columbia,,province,1824,94,1092
2020-04-24,BC,British Columbia,,province,1853,98,1114
2020-04-25,BC,British Columbia,,province,1948,100,1137
2020-04-26,BC,British Columbia,,province,1948,100,1137
2020-04-27,BC,British Columbia,,province,1998,103,1190
2020-04-28,BC,British Columbia,,province,2053,105,1231
2020-04-29,BC,British Columbia,,province,2087,109,1305
