date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-22,MG,,state,1283,47,45,True,21168791,31,6.06081,0.0366
2020-04-21,MG,,state,1230,44,44,False,21168791,31,5.81044,0.0358
2020-04-20,MG,,state,1189,41,43,False,21168791,31,5.61676,0.0345
2020-04-19,MG,,state,1154,39,42,False,21168791,31,5.45142,0.0338
2020-04-18,MG,,state,1077,39,41,False,21168791,31,5.08768,0.0362
2020-04-17,MG,,state,1021,35,40,False,21168791,31,4.82314,0.0343
2020-04-16,MG,,state,958,33,39,False,21168791,31,4.52553,0.0344
2020-04-15,MG,,state,903,30,38,False,21168791,31,4.26571,0.0332
2020-04-14,MG,,state,884,27,37,False,21168791,31,4.17596,0.0305
2020-04-13,MG,,state,815,23,36,False,21168791,31,3.85001,0.0282
2020-04-12,MG,,state,806,20,35,False,21168791,31,3.80749,0.0248
2020-04-11,MG,,state,750,17,34,False,21168791,31,3.54295,0.0227
2020-04-10,MG,,state,698,17,33,False,21168791,31,3.29731,0.0244
2020-04-09,MG,,state,655,15,32,False,21168791,31,3.09418,0.0229
2020-04-08,MG,,state,614,14,31,False,21168791,31,2.90050,0.0228
2020-04-07,MG,,state,559,11,30,False,21168791,31,2.64068,0.0197
2020-04-06,MG,,state,525,9,29,False,21168791,31,2.48007,0.0171
2020-04-05,MG,,state,498,6,28,False,21168791,31,2.35252,0.0120
2020-04-04,MG,,state,430,6,27,False,21168791,31,2.03129,0.0140
2020-04-03,MG,,state,397,6,26,False,21168791,31,1.87540,0.0151
2020-04-02,MG,,state,370,4,25,False,21168791,31,1.74786,0.0108
2020-04-01,MG,,state,314,3,24,False,21168791,31,1.48332,0.0096
2020-03-31,MG,,state,275,2,23,False,21168791,31,1.29908,0.0073
2020-03-30,MG,,state,261,1,22,False,21168791,31,1.23295,0.0038
2020-03-29,MG,,state,231,0,21,False,21168791,31,1.09123,
2020-03-28,MG,,state,205,0,20,False,21168791,31,0.96841,
2020-03-27,MG,,state,189,0,19,False,21168791,31,0.89282,
2020-03-26,MG,,state,153,0,18,False,21168791,31,0.72276,
2020-03-25,MG,,state,133,0,17,False,21168791,31,0.62828,
2020-03-24,MG,,state,130,0,16,False,21168791,31,0.61411,
2020-03-23,MG,,state,128,0,15,False,21168791,31,0.60466,
2020-03-22,MG,,state,83,0,14,False,21168791,31,0.39209,
2020-03-21,MG,,state,55,0,13,False,21168791,31,0.25982,
2020-03-20,MG,,state,38,0,12,False,21168791,31,0.17951,
2020-03-19,MG,,state,29,0,11,False,21168791,31,0.13699,
2020-03-18,MG,,state,19,0,10,False,21168791,31,0.08975,
2020-03-17,MG,,state,14,0,9,False,21168791,31,0.06614,
2020-03-16,MG,,state,6,0,8,False,21168791,31,0.02834,
2020-03-14,MG,,state,4,0,7,False,21168791,31,0.01890,
2020-03-13,MG,,state,2,0,6,False,21168791,31,0.00945,
2020-03-12,MG,,state,2,0,5,False,21168791,31,0.00945,
2020-03-11,MG,,state,1,0,4,False,21168791,31,0.00472,
2020-03-10,MG,,state,1,0,3,False,21168791,31,0.00472,
2020-03-09,MG,,state,1,0,2,False,21168791,31,0.00472,
2020-03-08,MG,,state,1,0,1,False,21168791,31,0.00472,
2020-04-22,MG,Abaeté,city,1,0,11,True,23237,3100203,4.30348,
2020-04-21,MG,Abaeté,city,1,0,10,False,23237,3100203,4.30348,
2020-04-20,MG,Abaeté,city,1,0,9,False,23237,3100203,4.30348,
2020-04-19,MG,Abaeté,city,1,0,8,False,23237,3100203,4.30348,
2020-04-18,MG,Abaeté,city,1,0,7,False,23237,3100203,4.30348,
2020-04-17,MG,Abaeté,city,1,0,6,False,23237,3100203,4.30348,
2020-04-16,MG,Abaeté,city,1,0,5,False,23237,3100203,4.30348,
2020-04-15,MG,Abaeté,city,1,0,4,False,23237,3100203,4.30348,
2020-04-14,MG,Abaeté,city,1,0,3,False,23237,3100203,4.30348,
2020-04-13,MG,Abaeté,city,1,0,2,False,23237,3100203,4.30348,
2020-04-12,MG,Abaeté,city,1,0,1,False,23237,3100203,4.30348,
2020-04-22,MG,Alfenas,city,2,0,23,True,79996,3101607,2.50013,
2020-04-21,MG,Alfenas,city,2,0,22,False,79996,3101607,2.50013,
2020-04-20,MG,Alfenas,city,2,0,21,False,79996,3101607,2.50013,
2020-04-19,MG,Alfenas,city,2,0,20,False,79996,3101607,2.50013,
2020-04-18,MG,Alfenas,city,2,0,19,False,79996,3101607,2.50013,
2020-04-17,MG,Alfenas,city,2,0,18,False,79996,3101607,2.50013,
2020-04-16,MG,Alfenas,city,2,0,17,False,79996,3101607,2.50013,
2020-04-15,MG,Alfenas,city,1,0,16,False,79996,3101607,1.25006,
2020-04-14,MG,Alfenas,city,1,0,15,False,79996,3101607,1.25006,
2020-04-13,MG,Alfenas,city,1,0,14,False,79996,3101607,1.25006,
2020-04-12,MG,Alfenas,city,1,0,13,False,79996,3101607,1.25006,
2020-04-11,MG,Alfenas,city,1,0,12,False,79996,3101607,1.25006,
2020-04-10,MG,Alfenas,city,1,0,11,False,79996,3101607,1.25006,
2020-04-09,MG,Alfenas,city,1,0,10,False,79996,3101607,1.25006,
2020-04-08,MG,Alfenas,city,1,0,9,False,79996,3101607,1.25006,
2020-04-07,MG,Alfenas,city,1,0,8,False,79996,3101607,1.25006,
2020-04-06,MG,Alfenas,city,1,0,7,False,79996,3101607,1.25006,
2020-04-05,MG,Alfenas,city,1,0,6,False,79996,3101607,1.25006,
2020-04-04,MG,Alfenas,city,1,0,5,False,79996,3101607,1.25006,
2020-04-03,MG,Alfenas,city,1,0,4,False,79996,3101607,1.25006,
2020-04-02,MG,Alfenas,city,1,0,3,False,79996,3101607,1.25006,
2020-04-01,MG,Alfenas,city,1,0,2,False,79996,3101607,1.25006,
2020-03-31,MG,Alfenas,city,1,0,1,False,79996,3101607,1.25006,
2020-04-22,MG,Almenara,city,2,0,8,True,41896,3101706,4.77373,
2020-04-21,MG,Almenara,city,2,0,7,False,41896,3101706,4.77373,
2020-04-20,MG,Almenara,city,2,0,6,False,41896,3101706,4.77373,
2020-04-19,MG,Almenara,city,2,0,5,False,41896,3101706,4.77373,
2020-04-18,MG,Almenara,city,1,0,4,False,41896,3101706,2.38686,
2020-04-17,MG,Almenara,city,1,0,3,False,41896,3101706,2.38686,
2020-04-16,MG,Almenara,city,1,0,2,False,41896,3101706,2.38686,
2020-04-15,MG,Almenara,city,1,0,1,False,41896,3101706,2.38686,
2020-04-22,MG,Alpercata,city,1,0,15,True,7424,3101805,13.46983,
2020-04-21,MG,Alpercata,city,1,0,14,False,7424,3101805,13.46983,
2020-04-20,MG,Alpercata,city,1,0,13,False,7424,3101805,13.46983,
