date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-11,PB,,state,25370,570,92,True,4018127,25,631.38870,0.0225
2020-06-10,PB,,state,24032,559,91,False,4018127,25,598.08961,0.0233
2020-06-09,PB,,state,22452,534,90,False,4018127,25,558.76780,0.0238
2020-06-08,PB,,state,20951,507,89,False,4018127,25,521.41209,0.0242
2020-06-07,PB,,state,20951,507,88,False,4018127,25,521.41209,0.0242
2020-06-06,PB,,state,19787,467,87,False,4018127,25,492.44337,0.0236
2020-06-05,PB,,state,18579,451,86,False,4018127,25,462.37961,0.0243
2020-06-04,PB,,state,17579,438,85,False,4018127,25,437.49239,0.0249
2020-06-03,PB,,state,16018,414,84,False,4018127,25,398.64345,0.0258
2020-06-02,PB,,state,14859,379,83,False,4018127,25,369.79916,0.0255
2020-06-01,PB,,state,13695,370,82,False,4018127,25,340.83044,0.0270
2020-05-31,PB,,state,13162,360,81,False,4018127,25,327.56555,0.0274
2020-05-30,PB,,state,12862,346,80,False,4018127,25,320.09939,0.0269
2020-05-29,PB,,state,12011,327,79,False,4018127,25,298.92037,0.0272
2020-05-28,PB,,state,11132,318,78,False,4018127,25,277.04450,0.0286
2020-05-27,PB,,state,10209,298,77,False,4018127,25,254.07360,0.0292
2020-05-26,PB,,state,8919,286,76,False,4018127,25,221.96909,0.0321
2020-05-25,PB,,state,8016,279,75,False,4018127,25,199.49593,0.0348
2020-05-24,PB,,state,7823,272,74,False,4018127,25,194.69270,0.0348
2020-05-23,PB,,state,7508,258,73,False,4018127,25,186.85323,0.0344
2020-05-22,PB,,state,6882,248,72,False,4018127,25,171.27383,0.0360
2020-05-21,PB,,state,6238,245,71,False,4018127,25,155.24646,0.0393
2020-05-20,PB,,state,5838,230,70,False,4018127,25,145.29157,0.0394
2020-05-19,PB,,state,5300,219,69,False,4018127,25,131.90225,0.0413
2020-05-18,PB,,state,4786,207,68,False,4018127,25,119.11022,0.0433
2020-05-17,PB,,state,4347,194,67,False,4018127,25,108.18473,0.0446
2020-05-16,PB,,state,4063,183,66,False,4018127,25,101.11676,0.0450
2020-05-15,PB,,state,3739,170,65,False,4018127,25,93.05331,0.0455
2020-05-14,PB,,state,3361,160,64,False,4018127,25,83.64594,0.0476
2020-05-13,PB,,state,3045,157,63,False,4018127,25,75.78158,0.0516
2020-05-12,PB,,state,2777,154,62,False,4018127,25,69.11180,0.0555
2020-05-11,PB,,state,2525,139,61,False,4018127,25,62.84022,0.0550
2020-05-10,PB,,state,2341,135,60,False,4018127,25,58.26098,0.0577
2020-05-09,PB,,state,2156,124,59,False,4018127,25,53.65684,0.0575
2020-05-08,PB,,state,2030,114,58,False,4018127,25,50.52105,0.0562
2020-05-07,PB,,state,1849,111,57,False,4018127,25,46.01646,0.0600
2020-05-06,PB,,state,1657,101,56,False,4018127,25,41.23812,0.0610
2020-05-05,PB,,state,1493,92,55,False,4018127,25,37.15662,0.0616
2020-05-04,PB,,state,1361,85,54,False,4018127,25,33.87150,0.0625
2020-05-03,PB,,state,1219,79,53,False,4018127,25,30.33752,0.0648
2020-05-02,PB,,state,1169,76,52,False,4018127,25,29.09316,0.0650
2020-05-01,PB,,state,1034,74,51,False,4018127,25,25.73338,0.0716
2020-04-30,PB,,state,926,67,50,False,4018127,25,23.04556,0.0724
2020-04-29,PB,,state,814,62,49,False,4018127,25,20.25819,0.0762
2020-04-28,PB,,state,698,57,48,False,4018127,25,17.37128,0.0817
2020-04-27,PB,,state,633,53,47,False,4018127,25,15.75361,0.0837
2020-04-26,PB,,state,543,50,46,False,4018127,25,13.51376,0.0921
2020-04-25,PB,,state,499,49,45,False,4018127,25,12.41872,0.0982
2020-04-24,PB,,state,447,46,44,False,4018127,25,11.12459,0.1029
2020-04-23,PB,,state,386,44,43,False,4018127,25,9.60647,0.1140
2020-04-22,PB,,state,345,40,42,False,4018127,25,8.58609,0.1159
2020-04-21,PB,,state,301,39,41,False,4018127,25,7.49105,0.1296
2020-04-20,PB,,state,263,33,40,False,4018127,25,6.54534,0.1255
2020-04-19,PB,,state,245,32,39,False,4018127,25,6.09737,0.1306
2020-04-18,PB,,state,236,29,38,False,4018127,25,5.87338,0.1229
2020-04-17,PB,,state,205,28,37,False,4018127,25,5.10188,0.1366
2020-04-16,PB,,state,195,26,36,False,4018127,25,4.85301,0.1333
2020-04-15,PB,,state,165,24,35,False,4018127,25,4.10639,0.1455
2020-04-14,PB,,state,152,21,34,False,4018127,25,3.78286,0.1382
2020-04-13,PB,,state,136,16,33,False,4018127,25,3.38466,0.1176
2020-04-12,PB,,state,111,13,32,False,4018127,25,2.76248,0.1171
2020-04-11,PB,,state,101,13,31,False,4018127,25,2.51361,0.1287
2020-04-10,PB,,state,85,11,30,False,4018127,25,2.11541,0.1294
2020-04-09,PB,,state,79,11,29,False,4018127,25,1.96609,0.1392
