date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-05-13,RS,,state,2997,120,62,True,11377239,43,26.34207,0.0400
2020-05-12,RS,,state,2917,111,61,False,11377239,43,25.63891,0.0381
2020-05-11,RS,,state,2808,105,60,False,11377239,43,24.68086,0.0374
2020-05-10,RS,,state,2576,100,59,False,11377239,43,22.64170,0.0388
2020-05-09,RS,,state,2542,97,58,False,11377239,43,22.34285,0.0382
2020-05-08,RS,,state,2493,95,57,False,11377239,43,21.91217,0.0381
2020-05-07,RS,,state,2182,91,56,False,11377239,43,19.17864,0.0417
2020-05-06,RS,,state,2100,90,55,False,11377239,43,18.45791,0.0429
2020-05-05,RS,,state,2019,83,54,False,11377239,43,17.74596,0.0411
2020-05-04,RS,,state,1768,76,53,False,11377239,43,15.53980,0.0430
2020-05-03,RS,,state,1690,67,52,False,11377239,43,14.85422,0.0396
2020-05-02,RS,,state,1666,65,51,False,11377239,43,14.64327,0.0390
2020-05-01,RS,,state,1619,62,50,False,11377239,43,14.23017,0.0383
2020-04-30,RS,,state,1529,58,49,False,11377239,43,13.43911,0.0379
2020-04-29,RS,,state,1420,51,48,False,11377239,43,12.48106,0.0359
2020-04-28,RS,,state,1350,49,47,False,11377239,43,11.86580,0.0363
2020-04-27,RS,,state,1256,45,46,False,11377239,43,11.03959,0.0358
2020-04-26,RS,,state,1208,38,45,False,11377239,43,10.61769,0.0315
2020-04-25,RS,,state,1166,35,44,False,11377239,43,10.24853,0.0300
2020-04-24,RS,,state,1096,34,43,False,11377239,43,9.63327,0.0310
2020-04-23,RS,,state,1039,29,42,False,11377239,43,9.13227,0.0279
2020-04-22,RS,,state,970,28,41,False,11377239,43,8.52579,0.0289
2020-04-21,RS,,state,918,27,40,False,11377239,43,8.06874,0.0294
2020-04-20,RS,,state,904,27,39,False,11377239,43,7.94569,0.0299
2020-04-19,RS,,state,869,26,38,False,11377239,43,7.63806,0.0299
2020-04-18,RS,,state,854,24,37,False,11377239,43,7.50621,0.0281
2020-04-17,RS,,state,831,24,36,False,11377239,43,7.30406,0.0289
2020-04-16,RS,,state,792,21,35,False,11377239,43,6.96127,0.0265
2020-04-15,RS,,state,762,19,34,False,11377239,43,6.69758,0.0249
2020-04-14,RS,,state,720,18,33,False,11377239,43,6.32842,0.0250
2020-04-13,RS,,state,685,17,32,False,11377239,43,6.02079,0.0248
2020-04-12,RS,,state,664,16,31,False,11377239,43,5.83621,0.0241
2020-04-11,RS,,state,653,16,30,False,11377239,43,5.73953,0.0245
2020-04-10,RS,,state,640,15,29,False,11377239,43,5.62527,0.0234
2020-04-09,RS,,state,636,14,28,False,11377239,43,5.59011,0.0220
2020-04-08,RS,,state,581,10,27,False,11377239,43,5.10669,0.0172
2020-04-07,RS,,state,555,8,26,False,11377239,43,4.87816,0.0144
2020-04-06,RS,,state,501,8,25,False,11377239,43,4.40353,0.0160
2020-04-05,RS,,state,468,7,24,False,11377239,43,4.11348,0.0150
2020-04-04,RS,,state,418,7,23,False,11377239,43,3.67400,0.0167
2020-04-03,RS,,state,410,6,22,False,11377239,43,3.60369,0.0146
2020-04-02,RS,,state,386,5,21,False,11377239,43,3.39274,0.0130
2020-04-01,RS,,state,316,5,20,False,11377239,43,2.77748,0.0158
2020-03-31,RS,,state,305,4,19,False,11377239,43,2.68079,0.0131
2020-03-30,RS,,state,254,4,18,False,11377239,43,2.23253,0.0157
2020-03-29,RS,,state,230,2,17,False,11377239,43,2.02158,0.0087
2020-03-28,RS,,state,200,2,16,False,11377239,43,1.75790,0.0100
2020-03-27,RS,,state,197,2,15,False,11377239,43,1.73153,0.0102
2020-03-26,RS,,state,190,1,14,False,11377239,43,1.67000,0.0053
2020-03-25,RS,,state,162,1,13,False,11377239,43,1.42390,0.0062
2020-03-24,RS,,state,112,0,12,False,11377239,43,0.98442,0.0000
2020-03-23,RS,,state,96,0,11,False,11377239,43,0.84379,0.0000
2020-03-22,RS,,state,77,0,10,False,11377239,43,0.67679,0.0000
2020-03-21,RS,,state,69,0,9,False,11377239,43,0.60647,0.0000
2020-03-20,RS,,state,43,0,8,False,11377239,43,0.37795,0.0000
2020-03-19,RS,,state,31,0,7,False,11377239,43,0.27247,0.0000
2020-03-18,RS,,state,19,0,6,False,11377239,43,0.16700,0.0000
2020-03-16,RS,,state,8,0,5,False,11377239,43,0.07032,0.0000
2020-03-13,RS,,state,4,0,4,False,11377239,43,0.03516,0.0000
2020-03-12,RS,,state,4,0,3,False,11377239,43,0.03516,0.0000
2020-03-11,RS,,state,2,0,2,False,11377239,43,0.01758,0.0000
2020-03-10,RS,,state,1,0,1,False,11377239,43,0.00879,0.0000
2020-05-13,RS,Ajuricaba,city,1,0,31,True,7024,4300208,14.23690,0.0000
2020-05-12,RS,Ajuricaba,city,1,0,30,False,7024,4300208,14.23690,0.0000
2020-05-11,RS,Ajuricaba,city,1,0,29,False,7024,4300208,14.23690,0.0000
2020-05-10,RS,Ajuricaba,city,1,0,28,False,7024,4300208,14.23690,0.0000
2020-05-09,RS,Ajuricaba,city,1,0,27,False,7024,4300208,14.23690,0.0000
2020-05-08,RS,Ajuricaba,city,1,0,26,False,7024,4300208,14.23690,0.0000
2020-05-07,RS,Ajuricaba,city,1,0,25,False,7024,4300208,14.23690,0.0000
2020-05-06,RS,Ajuricaba,city,1,0,24,False,7024,4300208,14.23690,0.0000
2020-05-05,RS,Ajuricaba,city,1,0,23,False,7024,4300208,14.23690,0.0000
2020-05-04,RS,Ajuricaba,city,1,0,22,False,7024,4300208,14.23690,0.0000
2020-05-03,RS,Ajuricaba,city,1,0,21,False,7024,4300208,14.23690,0.0000
2020-05-02,RS,Ajuricaba,city,1,0,20,False,7024,4300208,14.23690,0.0000
2020-05-01,RS,Ajuricaba,city,1,0,19,False,7024,4300208,14.23690,0.0000
2020-04-30,RS,Ajuricaba,city,1,0,18,False,7024,4300208,14.23690,0.0000
2020-04-29,RS,Ajuricaba,city,1,0,17,False,7024,4300208,14.23690,0.0000
2020-04-28,RS,Ajuricaba,city,1,0,16,False,7024,4300208,14.23690,0.0000
2020-04-27,RS,Ajuricaba,city,1,0,15,False,7024,4300208,14.23690,0.0000
2020-04-26,RS,Ajuricaba,city,1,0,14,False,7024,4300208,14.23690,0.0000
2020-04-25,RS,Ajuricaba,city,1,0,13,False,7024,4300208,14.23690,0.0000
2020-04-24,RS,Ajuricaba,city,1,0,12,False,7024,4300208,14.23690,0.0000
