date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-07-22,RS,,state,53073,1397,132,True,11377239,43,466.48400,0.0263
2020-07-21,RS,,state,49840,1349,131,False,11377239,43,438.06762,0.0271
2020-07-20,RS,,state,47449,1285,130,False,11377239,43,417.05198,0.0271
2020-07-19,RS,,state,47113,1252,129,False,11377239,43,414.09871,0.0266
2020-07-18,RS,,state,46847,1229,128,False,11377239,43,411.76071,0.0262
2020-07-17,RS,,state,46710,1174,127,False,11377239,43,410.55655,0.0251
2020-07-16,RS,,state,45344,1141,126,False,11377239,43,398.55012,0.0252
2020-07-15,RS,,state,42239,1101,125,False,11377239,43,371.25879,0.0261
2020-07-14,RS,,state,40993,1060,124,False,11377239,43,360.30710,0.0259
2020-07-13,RS,,state,39656,995,123,False,11377239,43,348.55557,0.0251
2020-07-12,RS,,state,39240,962,122,False,11377239,43,344.89914,0.0245
2020-07-11,RS,,state,38720,943,121,False,11377239,43,340.32862,0.0244
2020-07-10,RS,,state,37490,919,120,False,11377239,43,329.51756,0.0245
2020-07-09,RS,,state,36434,870,119,False,11377239,43,320.23587,0.0239
2020-07-08,RS,,state,35557,825,118,False,11377239,43,312.52749,0.0232
2020-07-07,RS,,state,33800,793,117,False,11377239,43,297.08438,0.0235
2020-07-06,RS,,state,32401,759,116,False,11377239,43,284.78790,0.0234
2020-07-05,RS,,state,31955,727,115,False,11377239,43,280.86779,0.0228
2020-07-04,RS,,state,31619,715,114,False,11377239,43,277.91453,0.0226
2020-07-03,RS,,state,30371,690,113,False,11377239,43,266.94526,0.0227
2020-07-02,RS,,state,29195,663,112,False,11377239,43,256.60883,0.0227
2020-07-01,RS,,state,28171,636,111,False,11377239,43,247.60840,0.0226
2020-06-30,RS,,state,26941,614,110,False,11377239,43,236.79735,0.0228
2020-06-29,RS,,state,25659,582,109,False,11377239,43,225.52923,0.0227
2020-06-28,RS,,state,25243,559,108,False,11377239,43,221.87281,0.0221
2020-06-27,RS,,state,25000,554,107,False,11377239,43,219.73697,0.0222
2020-06-26,RS,,state,24114,540,106,False,11377239,43,211.94949,0.0224
2020-06-25,RS,,state,23060,500,105,False,11377239,43,202.68538,0.0217
2020-06-24,RS,,state,22009,500,104,False,11377239,43,193.44764,0.0227
2020-06-23,RS,,state,20864,477,103,False,11377239,43,183.38368,0.0229
2020-06-22,RS,,state,19710,458,102,False,11377239,43,173.24063,0.0232
2020-06-21,RS,,state,19348,434,101,False,11377239,43,170.05883,0.0224
2020-06-20,RS,,state,19138,430,100,False,11377239,43,168.21304,0.0225
2020-06-19,RS,,state,18587,423,99,False,11377239,43,163.37004,0.0228
2020-06-18,RS,,state,17822,406,98,False,11377239,43,156.64609,0.0228
2020-06-17,RS,,state,17128,387,97,False,11377239,43,150.54619,0.0226
2020-06-16,RS,,state,16471,374,96,False,11377239,43,144.77150,0.0227
2020-06-15,RS,,state,15438,360,95,False,11377239,43,135.69197,0.0233
2020-06-14,RS,,state,14661,350,94,False,11377239,43,128.86255,0.0239
2020-06-13,RS,,state,14627,344,93,False,11377239,43,128.56371,0.0235
2020-06-12,RS,,state,14384,337,92,False,11377239,43,126.42786,0.0234
2020-06-11,RS,,state,14168,323,91,False,11377239,43,124.52933,0.0228
2020-06-10,RS,,state,13619,316,90,False,11377239,43,119.70391,0.0232
2020-06-09,RS,,state,12802,302,89,False,11377239,43,112.52291,0.0236
2020-06-08,RS,,state,12250,291,88,False,11377239,43,107.67111,0.0238
2020-06-07,RS,,state,12135,286,87,False,11377239,43,106.66032,0.0236
2020-06-06,RS,,state,12037,283,86,False,11377239,43,105.79896,0.0235
2020-06-05,RS,,state,11583,276,85,False,11377239,43,101.80853,0.0238
2020-06-04,RS,,state,11010,265,84,False,11377239,43,96.77216,0.0241
2020-06-03,RS,,state,10398,258,83,False,11377239,43,91.39300,0.0248
2020-06-02,RS,,state,9919,245,82,False,11377239,43,87.18284,0.0247
2020-06-01,RS,,state,9496,232,81,False,11377239,43,83.46489,0.0244
2020-05-31,RS,,state,9332,224,80,False,11377239,43,82.02342,0.0240
2020-05-30,RS,,state,9242,218,79,False,11377239,43,81.23236,0.0236
2020-05-29,RS,,state,8843,216,78,False,11377239,43,77.72536,0.0244
2020-05-28,RS,,state,8234,213,77,False,11377239,43,72.37257,0.0259
2020-05-27,RS,,state,7048,209,76,False,11377239,43,61.94825,0.0297
2020-05-26,RS,,state,6785,203,75,False,11377239,43,59.63661,0.0299
2020-05-25,RS,,state,6559,197,74,False,11377239,43,57.65019,0.0300
2020-05-24,RS,,state,6470,180,73,False,11377239,43,56.86793,0.0278
2020-05-23,RS,,state,6336,176,72,False,11377239,43,55.69014,0.0278
2020-05-22,RS,,state,5918,172,71,False,11377239,43,52.01614,0.0291
2020-05-21,RS,,state,5473,166,70,False,11377239,43,48.10482,0.0303
2020-05-20,RS,,state,4973,161,69,False,11377239,43,43.71008,0.0324
2020-05-19,RS,,state,3798,160,68,False,11377239,43,33.38244,0.0421
2020-05-18,RS,,state,3750,151,67,False,11377239,43,32.96055,0.0403
2020-05-17,RS,,state,3735,144,66,False,11377239,43,32.82870,0.0386
2020-05-16,RS,,state,3734,138,65,False,11377239,43,32.81991,0.0370
2020-05-15,RS,,state,3695,132,64,False,11377239,43,32.47712,0.0357
2020-05-14,RS,,state,3101,126,63,False,11377239,43,27.25617,0.0406
2020-05-13,RS,,state,2997,120,62,False,11377239,43,26.34207,0.0400
2020-05-12,RS,,state,2917,111,61,False,11377239,43,25.63891,0.0381
2020-05-11,RS,,state,2808,105,60,False,11377239,43,24.68086,0.0374
2020-05-10,RS,,state,2576,100,59,False,11377239,43,22.64170,0.0388
2020-05-09,RS,,state,2542,97,58,False,11377239,43,22.34285,0.0382
2020-05-08,RS,,state,2493,95,57,False,11377239,43,21.91217,0.0381
2020-05-07,RS,,state,2182,91,56,False,11377239,43,19.17864,0.0417
2020-05-06,RS,,state,2100,90,55,False,11377239,43,18.45791,0.0429
2020-05-05,RS,,state,2019,83,54,False,11377239,43,17.74596,0.0411
2020-05-04,RS,,state,1768,76,53,False,11377239,43,15.53980,0.0430
2020-05-03,RS,,state,1690,67,52,False,11377239,43,14.85422,0.0396
2020-05-02,RS,,state,1666,65,51,False,11377239,43,14.64327,0.0390
2020-05-01,RS,,state,1619,62,50,False,11377239,43,14.23017,0.0383
2020-04-30,RS,,state,1529,58,49,False,11377239,43,13.43911,0.0379
2020-04-29,RS,,state,1420,51,48,False,11377239,43,12.48106,0.0359
2020-04-28,RS,,state,1350,49,47,False,11377239,43,11.86580,0.0363
2020-04-27,RS,,state,1256,45,46,False,11377239,43,11.03959,0.0358
2020-04-26,RS,,state,1208,38,45,False,11377239,43,10.61769,0.0315
2020-04-25,RS,,state,1166,35,44,False,11377239,43,10.24853,0.0300
2020-04-24,RS,,state,1096,34,43,False,11377239,43,9.63327,0.0310
2020-04-23,RS,,state,1039,29,42,False,11377239,43,9.13227,0.0279
2020-04-22,RS,,state,970,28,41,False,11377239,43,8.52579,0.0289
2020-04-21,RS,,state,918,27,40,False,11377239,43,8.06874,0.0294
2020-04-20,RS,,state,904,27,39,False,11377239,43,7.94569,0.0299
2020-04-19,RS,,state,869,26,38,False,11377239,43,7.63806,0.0299
2020-04-18,RS,,state,854,24,37,False,11377239,43,7.50621,0.0281
2020-04-17,RS,,state,831,24,36,False,11377239,43,7.30406,0.0289
2020-04-16,RS,,state,792,21,35,False,11377239,43,6.96127,0.0265
2020-04-15,RS,,state,762,19,34,False,11377239,43,6.69758,0.0249
2020-04-14,RS,,state,720,18,33,False,11377239,43,6.32842,0.0250
2020-04-13,RS,,state,685,17,32,False,11377239,43,6.02079,0.0248
2020-04-12,RS,,state,664,16,31,False,11377239,43,5.83621,0.0241
2020-04-11,RS,,state,653,16,30,False,11377239,43,5.73953,0.0245
2020-04-10,RS,,state,640,15,29,False,11377239,43,5.62527,0.0234
2020-04-09,RS,,state,636,14,28,False,11377239,43,5.59011,0.0220
2020-04-08,RS,,state,581,10,27,False,11377239,43,5.10669,0.0172
2020-04-07,RS,,state,555,8,26,False,11377239,43,4.87816,0.0144
2020-04-06,RS,,state,501,8,25,False,11377239,43,4.40353,0.0160
2020-04-05,RS,,state,468,7,24,False,11377239,43,4.11348,0.0150
2020-04-04,RS,,state,418,7,23,False,11377239,43,3.67400,0.0167
2020-04-03,RS,,state,410,6,22,False,11377239,43,3.60369,0.0146
2020-04-02,RS,,state,386,5,21,False,11377239,43,3.39274,0.0130
2020-04-01,RS,,state,316,5,20,False,11377239,43,2.77748,0.0158
2020-03-31,RS,,state,305,4,19,False,11377239,43,2.68079,0.0131
2020-03-30,RS,,state,254,4,18,False,11377239,43,2.23253,0.0157
2020-03-29,RS,,state,230,2,17,False,11377239,43,2.02158,0.0087
2020-03-28,RS,,state,200,2,16,False,11377239,43,1.75790,0.0100
2020-03-27,RS,,state,197,2,15,False,11377239,43,1.73153,0.0102
2020-03-26,RS,,state,190,1,14,False,11377239,43,1.67000,0.0053
2020-03-25,RS,,state,162,1,13,False,11377239,43,1.42390,0.0062
2020-03-24,RS,,state,112,0,12,False,11377239,43,0.98442,0.0000
2020-03-23,RS,,state,96,0,11,False,11377239,43,0.84379,0.0000
2020-03-22,RS,,state,77,0,10,False,11377239,43,0.67679,0.0000
2020-03-21,RS,,state,69,0,9,False,11377239,43,0.60647,0.0000
2020-03-20,RS,,state,43,0,8,False,11377239,43,0.37795,0.0000
2020-03-19,RS,,state,31,0,7,False,11377239,43,0.27247,0.0000
2020-03-18,RS,,state,19,0,6,False,11377239,43,0.16700,0.0000
2020-03-16,RS,,state,8,0,5,False,11377239,43,0.07032,0.0000
2020-03-13,RS,,state,4,0,4,False,11377239,43,0.03516,0.0000
2020-03-12,RS,,state,4,0,3,False,11377239,43,0.03516,0.0000
2020-03-11,RS,,state,2,0,2,False,11377239,43,0.01758,0.0000
2020-03-10,RS,,state,1,0,1,False,11377239,43,0.00879,0.0000
2020-07-22,RS,Aceguá,city,0,0,7,True,4901,4300034,,0.0000
2020-07-21,RS,Aceguá,city,0,0,6,False,4901,4300034,,0.0000
2020-07-20,RS,Aceguá,city,0,0,5,False,4901,4300034,,0.0000
2020-07-19,RS,Aceguá,city,0,0,4,False,4901,4300034,,0.0000
2020-07-18,RS,Aceguá,city,0,0,3,False,4901,4300034,,0.0000
2020-07-17,RS,Aceguá,city,0,0,2,False,4901,4300034,,0.0000
2020-07-16,RS,Aceguá,city,1,0,1,False,4901,4300034,20.40400,0.0000
2020-07-22,RS,Agudo,city,3,0,55,True,16461,4300109,18.22490,0.0000
2020-07-21,RS,Agudo,city,3,0,54,False,16461,4300109,18.22490,0.0000
2020-07-20,RS,Agudo,city,3,0,53,False,16461,4300109,18.22490,0.0000
2020-07-19,RS,Agudo,city,3,0,52,False,16461,4300109,18.22490,0.0000
2020-07-18,RS,Agudo,city,3,0,51,False,16461,4300109,18.22490,0.0000
2020-07-17,RS,Agudo,city,3,0,50,False,16461,4300109,18.22490,0.0000
2020-07-16,RS,Agudo,city,3,0,49,False,16461,4300109,18.22490,0.0000
2020-07-15,RS,Agudo,city,2,0,48,False,16461,4300109,12.14993,0.0000
2020-07-14,RS,Agudo,city,2,0,47,False,16461,4300109,12.14993,0.0000
2020-07-13,RS,Agudo,city,2,0,46,False,16461,4300109,12.14993,0.0000
2020-07-12,RS,Agudo,city,2,0,45,False,16461,4300109,12.14993,0.0000
2020-07-11,RS,Agudo,city,2,0,44,False,16461,4300109,12.14993,0.0000
2020-07-10,RS,Agudo,city,2,0,43,False,16461,4300109,12.14993,0.0000
2020-07-09,RS,Agudo,city,2,0,42,False,16461,4300109,12.14993,0.0000
2020-07-08,RS,Agudo,city,2,0,41,False,16461,4300109,12.14993,0.0000
2020-07-07,RS,Agudo,city,2,0,40,False,16461,4300109,12.14993,0.0000
2020-07-06,RS,Agudo,city,2,0,39,False,16461,4300109,12.14993,0.0000
2020-07-05,RS,Agudo,city,2,0,38,False,16461,4300109,12.14993,0.0000
2020-07-04,RS,Agudo,city,2,0,37,False,16461,4300109,12.14993,0.0000
2020-07-03,RS,Agudo,city,2,0,36,False,16461,4300109,12.14993,0.0000
2020-07-02,RS,Agudo,city,2,0,35,False,16461,4300109,12.14993,0.0000
2020-07-01,RS,Agudo,city,2,0,34,False,16461,4300109,12.14993,0.0000
2020-06-30,RS,Agudo,city,2,0,33,False,16461,4300109,12.14993,0.0000
2020-06-29,RS,Agudo,city,2,0,32,False,16461,4300109,12.14993,0.0000
2020-06-28,RS,Agudo,city,2,0,31,False,16461,4300109,12.14993,0.0000
2020-06-27,RS,Agudo,city,2,0,30,False,16461,4300109,12.14993,0.0000
2020-06-26,RS,Agudo,city,2,0,29,False,16461,4300109,12.14993,0.0000
2020-06-25,RS,Agudo,city,2,0,28,False,16461,4300109,12.14993,0.0000
2020-06-24,RS,Agudo,city,2,0,27,False,16461,4300109,12.14993,0.0000
2020-06-23,RS,Agudo,city,2,0,26,False,16461,4300109,12.14993,0.0000
2020-06-22,RS,Agudo,city,2,0,25,False,16461,4300109,12.14993,0.0000
2020-06-21,RS,Agudo,city,2,0,24,False,16461,4300109,12.14993,0.0000
2020-06-20,RS,Agudo,city,2,0,23,False,16461,4300109,12.14993,0.0000
2020-06-19,RS,Agudo,city,2,0,22,False,16461,4300109,12.14993,0.0000
2020-06-18,RS,Agudo,city,2,0,21,False,16461,4300109,12.14993,0.0000
2020-06-17,RS,Agudo,city,2,0,20,False,16461,4300109,12.14993,0.0000
2020-06-16,RS,Agudo,city,2,0,19,False,16461,4300109,12.14993,0.0000
2020-06-15,RS,Agudo,city,2,0,18,False,16461,4300109,12.14993,0.0000
2020-06-14,RS,Agudo,city,2,0,17,False,16461,4300109,12.14993,0.0000
2020-06-13,RS,Agudo,city,2,0,16,False,16461,4300109,12.14993,0.0000
2020-06-12,RS,Agudo,city,2,0,15,False,16461,4300109,12.14993,0.0000
2020-06-11,RS,Agudo,city,2,0,14,False,16461,4300109,12.14993,0.0000
2020-06-10,RS,Agudo,city,2,0,13,False,16461,4300109,12.14993,0.0000
2020-06-09,RS,Agudo,city,2,0,12,False,16461,4300109,12.14993,0.0000
2020-06-08,RS,Agudo,city,2,0,11,False,16461,4300109,12.14993,0.0000
2020-06-07,RS,Agudo,city,2,0,10,False,16461,4300109,12.14993,0.0000
2020-06-06,RS,Agudo,city,2,0,9,False,16461,4300109,12.14993,0.0000
2020-06-05,RS,Agudo,city,2,0,8,False,16461,4300109,12.14993,0.0000
2020-06-04,RS,Agudo,city,1,0,7,False,16461,4300109,6.07497,0.0000
2020-06-03,RS,Agudo,city,1,0,6,False,16461,4300109,6.07497,0.0000
2020-06-02,RS,Agudo,city,1,0,5,False,16461,4300109,6.07497,0.0000
2020-06-01,RS,Agudo,city,1,0,4,False,16461,4300109,6.07497,0.0000
2020-05-31,RS,Agudo,city,1,0,3,False,16461,4300109,6.07497,0.0000
2020-05-30,RS,Agudo,city,1,0,2,False,16461,4300109,6.07497,0.0000
2020-05-29,RS,Agudo,city,1,0,1,False,16461,4300109,6.07497,0.0000
2020-07-22,RS,Ajuricaba,city,4,0,101,True,7024,4300208,56.94761,0.0000
2020-07-21,RS,Ajuricaba,city,3,0,100,False,7024,4300208,42.71071,0.0000
2020-07-20,RS,Ajuricaba,city,3,0,99,False,7024,4300208,42.71071,0.0000
2020-07-19,RS,Ajuricaba,city,3,0,98,False,7024,4300208,42.71071,0.0000
2020-07-18,RS,Ajuricaba,city,3,0,97,False,7024,4300208,42.71071,0.0000
2020-07-17,RS,Ajuricaba,city,3,0,96,False,7024,4300208,42.71071,0.0000
2020-07-16,RS,Ajuricaba,city,3,0,95,False,7024,4300208,42.71071,0.0000
2020-07-15,RS,Ajuricaba,city,3,0,94,False,7024,4300208,42.71071,0.0000
2020-07-14,RS,Ajuricaba,city,4,0,93,False,7024,4300208,56.94761,0.0000
2020-07-13,RS,Ajuricaba,city,4,0,92,False,7024,4300208,56.94761,0.0000
2020-07-12,RS,Ajuricaba,city,4,0,91,False,7024,4300208,56.94761,0.0000
2020-07-11,RS,Ajuricaba,city,4,0,90,False,7024,4300208,56.94761,0.0000
2020-07-10,RS,Ajuricaba,city,4,0,89,False,7024,4300208,56.94761,0.0000
2020-07-09,RS,Ajuricaba,city,4,0,88,False,7024,4300208,56.94761,0.0000
2020-07-08,RS,Ajuricaba,city,4,0,87,False,7024,4300208,56.94761,0.0000
2020-07-07,RS,Ajuricaba,city,4,0,86,False,7024,4300208,56.94761,0.0000
2020-07-06,RS,Ajuricaba,city,4,0,85,False,7024,4300208,56.94761,0.0000
2020-07-05,RS,Ajuricaba,city,4,0,84,False,7024,4300208,56.94761,0.0000
2020-07-04,RS,Ajuricaba,city,3,0,83,False,7024,4300208,42.71071,0.0000
2020-07-03,RS,Ajuricaba,city,3,0,82,False,7024,4300208,42.71071,0.0000
2020-07-02,RS,Ajuricaba,city,2,0,81,False,7024,4300208,28.47380,0.0000
2020-07-01,RS,Ajuricaba,city,2,0,80,False,7024,4300208,28.47380,0.0000
2020-06-30,RS,Ajuricaba,city,2,0,79,False,7024,4300208,28.47380,0.0000
2020-06-29,RS,Ajuricaba,city,2,0,78,False,7024,4300208,28.47380,0.0000
2020-06-28,RS,Ajuricaba,city,2,0,77,False,7024,4300208,28.47380,0.0000
2020-06-27,RS,Ajuricaba,city,2,0,76,False,7024,4300208,28.47380,0.0000
2020-06-26,RS,Ajuricaba,city,2,0,75,False,7024,4300208,28.47380,0.0000
2020-06-25,RS,Ajuricaba,city,2,0,74,False,7024,4300208,28.47380,0.0000
2020-06-24,RS,Ajuricaba,city,2,0,73,False,7024,4300208,28.47380,0.0000
2020-06-23,RS,Ajuricaba,city,2,0,72,False,7024,4300208,28.47380,0.0000
2020-06-22,RS,Ajuricaba,city,2,0,71,False,7024,4300208,28.47380,0.0000
2020-06-21,RS,Ajuricaba,city,2,0,70,False,7024,4300208,28.47380,0.0000
2020-06-20,RS,Ajuricaba,city,2,0,69,False,7024,4300208,28.47380,0.0000
2020-06-19,RS,Ajuricaba,city,2,0,68,False,7024,4300208,28.47380,0.0000
